va	size	name	type
00401ad6	41	GodotFailEnableWindow	int (HWND__*, int)
00401aff	41	GodotFailGetClipboardData	void* (unsigned)
00401b28	13	GodotFailCopyFileW	int (const unsigned short*, cons...
00401b28	13	GodotFailGetModuleFileNameW	unsigned long (HINSTANCE__*, uns...
00401b28	13	GodotFailGetKeyNameTextW	int (long, unsigned short*, int)
00401b28	13	GodotFailIsTextUnicode	int (const void*, int, int*)
00401b35	41	GodotFailIsClipboardFormatAvailable	int (unsigned)
00401b5e	41	GodotFailMessageBoxW	int (HWND__*, const unsigned sho...
00401b87	13	GodotFailGetDiskFreeSpaceExW	int (const unsigned short*, _ULA...
00401b87	13	GodotFailGetTempFileNameW	unsigned (const unsigned short*,...
00401b87	13	GodotFailWritePrivateProfileStringW	int (const unsigned short*, cons...
00401b87	13	GodotFailPostMessageW	int (HWND__*, unsigned, unsigned...
00401b87	13	GodotFailSystemParametersInfoW	int (unsigned, unsigned, void*, ...
00401b94	14	GodotFailVkKeyScanW	short (unsigned short)
00401ba2	6	GodotFailRegOpenKeyExW	long (HKEY__*, const unsigned sh...
00401bb0	37	kernel32_GetModuleHandleW_Thunk	void ()
00401bd5	37	kernel32_WritePrivateProfileStringW_Thunk	void ()
00401bfa	37	advapi32_GetUserNameW_Thunk	void ()
00401c1f	37	user32_GetKeyNameTextW_Thunk	void ()
00401c44	37	kernel32_GetPrivateProfileStringW_Thunk	void ()
00401c69	37	kernel32_CreateDirectoryW_Thunk	void ()
00401c8e	37	kernel32_GetTempPathW_Thunk	void ()
00401cb3	37	kernel32_SetFileAttributesW_Thunk	void ()
00401cd8	37	kernel32_CopyFileW_Thunk	void ()
00401cfd	37	kernel32_GetTempFileNameW_Thunk	void ()
00401d22	37	kernel32_CreateFileMappingW_Thunk	void ()
00401d47	37	kernel32_MoveFileW_Thunk	void ()
00401d6c	37	user32_IsClipboardFormatAvailable_Thunk	void ()
00401d91	37	user32_GetClipboardData_Thunk	void ()
00401db6	37	user32_VkKeyScanW_Thunk	void ()
00401ddb	37	user32_PostMessageW_Thunk	void ()
00401e00	37	kernel32_CreateEventW_Thunk	void ()
00401e30	17	`dynamic initializer for 'workshop_downloading_win''	void ()
00401e50	112	`dynamic initializer for 'profile_init''	void ()
00401ec0	62	`dynamic initializer for 'STEAM_LOBBY_SCENARIO_DATA''	void ()
00401f00	62	`dynamic initializer for 'PLAYERKEY_ELO''	void ()
00401f40	62	`dynamic initializer for 'PLAYERKEY_SLOTTYPE''	void ()
00401f80	62	`dynamic initializer for 'PLAYERKEY_TRIBE''	void ()
00401fc0	62	`dynamic initializer for 'PLAYERKEY_WHO''	void ()
00402000	62	`dynamic initializer for 'PLAYERKEY_TEAM''	void ()
00402040	62	`dynamic initializer for 'PLAYERKEY_HANDICAP''	void ()
00402080	62	`dynamic initializer for 'PLAYERKEY_DIFFICULTY''	void ()
004020c0	62	`dynamic initializer for 'PLAYERKEY_READY''	void ()
00402100	62	`dynamic initializer for 'PLAYERKEY_PLAYER_ID''	void ()
00402140	23	`dynamic initializer for 'GlobalLogger::filestream''	void ()
00402160	17	`dynamic initializer for 'workshop_publishing_win''	void ()
00402180	12	`dynamic initializer for 'sFileList''	void ()
00402190	22	`dynamic initializer for 'workshop_publish_win''	void ()
004021b0	36	`dynamic initializer for 'visMappings''	void ()
004021e0	12	`dynamic initializer for 'sDescription''	void ()
004021f0	36	`dynamic initializer for 'type_str''	void ()
00402220	36	`dynamic initializer for 'line_str''	void ()
00402250	36	`dynamic initializer for 'object_str''	void ()
00402280	36	`dynamic initializer for 'age_str''	void ()
004022b0	36	`dynamic initializer for 'comment''	void ()
004022e0	12	`dynamic initializer for 'game_random''	void ()
004022f0	18	`dynamic initializer for 'game''	void ()
00402310	18	`dynamic initializer for 'sys''	void ()
00402330	17	`dynamic initializer for 'constants''	void ()
00402350	82	`dynamic initializer for 'armies''	void ()
004023b0	22	`dynamic initializer for 'build_cats''	void ()
004023d0	22	`dynamic initializer for 'tech_cats''	void ()
004023f0	22	`dynamic initializer for 'unit_cats''	void ()
00402410	82	`dynamic initializer for 'cities''	void ()
00402470	82	`dynamic initializer for 'unbuilt_cities''	void ()
004024d0	82	`dynamic initializer for 'unbuilt_forts''	void ()
00402530	82	`dynamic initializer for 'unbuilt_wonders''	void ()
00402590	82	`dynamic initializer for 'team_colors''	void ()
004025f0	17	`dynamic initializer for 'forms''	void ()
00402610	75	`dynamic initializer for 'goods''	void ()
00402660	75	`dynamic initializer for 'items''	void ()
004026b0	17	`dynamic initializer for 'regions''	void ()
004026d0	82	`dynamic initializer for 'heroes''	void ()
00402730	97	`dynamic initializer for 'herds''	void ()
004027a0	82	`dynamic initializer for 'specials''	void ()
00402800	82	`dynamic initializer for 'wonders''	void ()
00402860	82	`dynamic initializer for 'forts''	void ()
004028c0	82	`dynamic initializer for 'docks''	void ()
00402920	82	`dynamic initializer for 'oil_wells''	void ()
00402980	82	`dynamic initializer for 'supplies''	void ()
004029e0	82	`dynamic initializer for 'caravans''	void ()
00402a40	18	`dynamic initializer for 'lands''	void ()
00402a60	17	`dynamic initializer for 'leaders''	void ()
00402a80	82	`dynamic initializer for 'leader_options''	void ()
00402ae0	81	`dynamic initializer for 'nuke_effect''	void ()
00402b40	187	`dynamic initializer for 'farms''	void ()
00402c00	22	`dynamic initializer for 'tribes''	void ()
00402c20	22	`dynamic initializer for 'stances_combat''	void ()
00402c40	22	`dynamic initializer for 'stances_worker''	void ()
00402c60	22	`dynamic initializer for 'stances_caster''	void ()
00402c80	22	`dynamic initializer for 'stances_packer''	void ()
00402ca0	22	`dynamic initializer for 'agename_cats''	void ()
00402cc0	22	`dynamic initializer for 'treaties_cats''	void ()
00402ce0	22	`dynamic initializer for 'team_styles''	void ()
00402d00	22	`dynamic initializer for 'game_rules''	void ()
00402d20	22	`dynamic initializer for 'mods''	void ()
00402d40	22	`dynamic initializer for 'map_styles''	void ()
00402d60	22	`dynamic initializer for 'diffs''	void ()
00402d80	22	`dynamic initializer for 'map_sizes''	void ()
00402da0	22	`dynamic initializer for 'victories''	void ()
00402dc0	22	`dynamic initializer for 'eliminations''	void ()
00402de0	22	`dynamic initializer for 'starting_towns''	void ()
00402e00	22	`dynamic initializer for 'starting_resources''	void ()
00402e20	22	`dynamic initializer for 'starting_resources2''	void ()
00402e40	22	`dynamic initializer for 'tech_costs''	void ()
00402e60	22	`dynamic initializer for 'starting_technologies''	void ()
00402e80	22	`dynamic initializer for 'starting_technologies2''	void ()
00402ea0	22	`dynamic initializer for 'ending_technologies''	void ()
00402ec0	22	`dynamic initializer for 'reveal_maps''	void ()
00402ee0	22	`dynamic initializer for 'pop_limits''	void ()
00402f00	22	`dynamic initializer for 'rush_rules''	void ()
00402f20	22	`dynamic initializer for 'cannon_times''	void ()
00402f40	22	`dynamic initializer for 'handicaps''	void ()
00402f60	22	`dynamic initializer for 'player_slots''	void ()
00402f80	22	`dynamic initializer for 'number_of_players''	void ()
00402fa0	22	`dynamic initializer for 'max_observers''	void ()
00402fc0	22	`dynamic initializer for 'game_speeds''	void ()
00402fe0	22	`dynamic initializer for 'scores''	void ()
00403000	22	`dynamic initializer for 'time_limits''	void ()
00403020	22	`dynamic initializer for 'chairs''	void ()
00403040	22	`dynamic initializer for 'wonderwins''	void ()
00403060	22	`dynamic initializer for 'popwins''	void ()
00403080	22	`dynamic initializer for 'econwins''	void ()
004030a0	22	`dynamic initializer for 'victorytypes''	void ()
004030c0	22	`dynamic initializer for 'gameinfo_flags''	void ()
004030e0	85	`dynamic initializer for 'option_info''	void ()
00403140	75	`dynamic initializer for 'goodtypes''	void ()
00403190	75	`dynamic initializer for 'unittypes''	void ()
004031e0	75	`dynamic initializer for 'buildtypes''	void ()
00403230	75	`dynamic initializer for 'techtypes''	void ()
00403280	75	`dynamic initializer for 'itemtypes''	void ()
004032d0	75	`dynamic initializer for 'objecttypes''	void ()
00403320	75	`dynamic initializer for 'spelltypes''	void ()
00403370	75	`dynamic initializer for 'bonustypes''	void ()
004033c0	75	`dynamic initializer for 'govtypes''	void ()
00403410	17	`dynamic initializer for 'types''	void ()
00403430	75	`dynamic initializer for 'typesbak''	void ()
00403480	18	`dynamic initializer for 'pathfinder''	void ()
004034a0	18	`dynamic initializer for 'groups''	void ()
004034c0	81	`dynamic initializer for 'objects''	void ()
00403520	82	`dynamic initializer for 'units''	void ()
00403580	63	`dynamic initializer for 'hotkey_groups''	void ()
004035c0	90	`dynamic initializer for 'world''	void ()
00403620	18	`dynamic initializer for 'mountains''	void ()
00403640	101	`dynamic initializer for 'graphic_events''	void ()
004036b0	24	`dynamic initializer for 'scenario_editor''	void ()
004036d0	18	`dynamic initializer for 'turn_control''	void ()
004036f0	18	`dynamic initializer for 'conquest_game''	void ()
00403710	17	`dynamic initializer for 'achieve''	void ()
00403730	75	`dynamic initializer for 'lights''	void ()
00403780	81	`dynamic initializer for 'terrain''	void ()
004037e0	18	`dynamic initializer for 'tilesets''	void ()
00403800	12	`dynamic initializer for 'vtune_profile''	void ()
00403810	81	`dynamic initializer for 'roads''	void ()
00403870	81	`dynamic initializer for 'rivers''	void ()
004038d0	18	`dynamic initializer for 'grass_clumps''	void ()
004038f0	18	`dynamic initializer for 'cliffs''	void ()
00403910	18	`dynamic initializer for 'scene''	void ()
00403930	12	`dynamic initializer for 'world_vis_x''	void ()
00403940	12	`dynamic initializer for 'world_vis_y''	void ()
00403950	18	`dynamic initializer for 'graphic_pieces''	void ()
00403970	99	`dynamic initializer for 'syllable''	void ()
004039e0	360	`dynamic initializer for 'camera''	void ()
00403b50	17	`dynamic initializer for 'cursors''	void ()
00403b70	18	`dynamic initializer for 'fog''	void ()
00403b90	105	`dynamic initializer for 'tipwin''	void ()
00403c00	18	`dynamic initializer for 'objectives_menu''	void ()
00403c20	18	`dynamic initializer for 'achieve_win''	void ()
00403c40	18	`dynamic initializer for 'search_win''	void ()
00403c60	17	`dynamic initializer for 'msg_box''	void ()
00403c80	17	`dynamic initializer for 'script_log''	void ()
00403ca0	18	`dynamic initializer for 'select_groups''	void ()
00403cc0	18	`dynamic initializer for 'options''	void ()
00403ce0	18	`dynamic initializer for 'console''	void ()
00403d00	18	`dynamic initializer for 'stat_win''	void ()
00403d20	18	`dynamic initializer for 'message_win''	void ()
00403d40	18	`dynamic initializer for 'mouseover''	void ()
00403d60	18	`dynamic initializer for 'command_manager''	void ()
00403d80	23	`dynamic initializer for 'record_game''	void ()
00403da0	85	`dynamic initializer for 'key_map''	void ()
00403e00	18	`dynamic initializer for 'drop_control''	void ()
00403e20	17	`dynamic initializer for 'connection_data''	void ()
00403e40	95	`dynamic initializer for 'netdaemon''	void ()
00403ea0	22	`dynamic initializer for 'check_sums''	void ()
00403ec0	12	`dynamic initializer for 'my_leader_option''	void ()
00403ed0	18	`dynamic initializer for 'ping_spline_gen''	void ()
00403ef0	63	`dynamic initializer for 'borders''	void ()
00403f30	17	`dynamic initializer for 'doobers''	void ()
00403f50	17	`dynamic initializer for 'conquest_team_colors''	void ()
00403f70	11	`dynamic initializer for 'MiscAccess::iface_main''	void ()
00403f80	11	`dynamic initializer for 'MiscAccess::iface_editor''	void ()
00403f90	11	`dynamic initializer for 'MiscAccess::iface_current''	void ()
00403fa0	11	`dynamic initializer for 'MiscAccess::worldmap''	void ()
00403fb0	11	`dynamic initializer for 'MiscAccess::intro''	void ()
00403fc0	11	`dynamic initializer for 'MiscAccess::loading''	void ()
00403fd0	11	`dynamic initializer for 'MiscAccess::scenario_loading''	void ()
00403fe0	11	`dynamic initializer for 'MiscAccess::top_menu''	void ()
00403ff0	11	`dynamic initializer for 'MiscAccess::main_menu''	void ()
00404000	11	`dynamic initializer for 'MiscAccess::scenario_editor''	void ()
00404010	11	`dynamic initializer for 'MiscAccess::script_editor''	void ()
00404020	11	`dynamic initializer for 'MiscAccess::console_win''	void ()
00404030	11	`dynamic initializer for 'MiscAccess::mem_win''	void ()
00404040	11	`dynamic initializer for 'MiscAccess::param_register_win''	void ()
00404050	112	`dynamic initializer for 'profile_init''	void ()
004040c0	17	`dynamic initializer for 'animmgr''	void ()
004040e0	12	`dynamic initializer for 'render_states''	void ()
004040f0	12	`dynamic initializer for 'the_card''	void ()
00404100	17	`dynamic initializer for 'iface_render_manager''	void ()
00404120	22	`dynamic initializer for 'help_xml''	void ()
00404140	17	`dynamic initializer for 'game_log''	void ()
00404160	17	`dynamic initializer for 'lexer''	void ()
00404180	17	`dynamic initializer for 'script_compiler''	void ()
004041a0	22	`dynamic initializer for 'script_run_time''	void ()
004041c0	149	`dynamic initializer for 'load_game''	void ()
00404260	130	`dynamic initializer for 'save_game''	void ()
004042f0	18	`dynamic initializer for 'scenario_write''	void ()
00404310	18	`dynamic initializer for 'scenario_read''	void ()
00404330	85	`dynamic initializer for 'sound_global''	void ()
00404390	17	`dynamic initializer for 'sound_file_lookup''	void ()
004043b0	18	`dynamic initializer for 'juke_box''	void ()
004043d0	76	`dynamic initializer for 'taunts''	void ()
00404420	12	`dynamic initializer for 'combat_table''	void ()
00404430	80	`dynamic initializer for 'real_script_game_interface''	void ()
00404480	22	`dynamic initializer for 'sound_xml''	void ()
004044a0	82	`dynamic initializer for 'ordmgr''	void ()
00404500	12	`dynamic initializer for 'time_sync''	void ()
00404510	17	`dynamic initializer for 'chat_box''	void ()
00404530	17	`dynamic initializer for 'sync_display''	void ()
00404550	18	`dynamic initializer for 'sync_dir''	void ()
00404570	17	`dynamic initializer for 'mp_stat_win''	void ()
00404590	18	`dynamic initializer for 'fog_master''	void ()
004045b0	17	`dynamic initializer for 'render_control''	void ()
004045d0	24	`dynamic initializer for 'popup''	void ()
004045f0	18	`dynamic initializer for 'pointer_popup''	void ()
00404610	18	`dynamic initializer for 'game_report_win''	void ()
00404630	105	`dynamic initializer for 'end_game_win''	void ()
004046a0	17	`dynamic initializer for 'load_win''	void ()
004046c0	17	`dynamic initializer for 'prof_window''	void ()
004046e0	18	`dynamic initializer for 'mp_drop_win''	void ()
00404700	17	`dynamic initializer for 'gamespy_player_pop''	void ()
00404720	62	`dynamic initializer for 'STEAM_LOBBY_SCENARIO_DATA''	void ()
00404760	62	`dynamic initializer for 'PLAYERKEY_ELO''	void ()
004047a0	62	`dynamic initializer for 'PLAYERKEY_SLOTTYPE''	void ()
004047e0	62	`dynamic initializer for 'PLAYERKEY_TRIBE''	void ()
00404820	62	`dynamic initializer for 'PLAYERKEY_WHO''	void ()
00404860	62	`dynamic initializer for 'PLAYERKEY_TEAM''	void ()
004048a0	62	`dynamic initializer for 'PLAYERKEY_HANDICAP''	void ()
004048e0	62	`dynamic initializer for 'PLAYERKEY_DIFFICULTY''	void ()
00404920	62	`dynamic initializer for 'PLAYERKEY_READY''	void ()
00404960	62	`dynamic initializer for 'PLAYERKEY_PLAYER_ID''	void ()
004049a0	18	`dynamic initializer for 'gamespy''	void ()
004049c0	17	`dynamic initializer for 'surf''	void ()
004049e0	17	`dynamic initializer for 'section_prof_win''	void ()
00404a00	75	`dynamic initializer for 'shader_accounts''	void ()
00404a50	12	`dynamic initializer for 'ammo_names''	void ()
00404a60	12	`dynamic initializer for 'doober_names''	void ()
00404a70	12	`dynamic initializer for 'shadow_names''	void ()
00404a80	12	`dynamic initializer for 'skeleton_names''	void ()
00404a90	12	`dynamic initializer for 'scorch_names''	void ()
00404aa0	22	`dynamic initializer for 'unit_graphics_xml''	void ()
00404ac0	22	`dynamic initializer for 'building_graphics_xml''	void ()
00404ae0	22	`dynamic initializer for 'effects_graphics_xml''	void ()
00404b00	12	`dynamic initializer for 'unit_list''	void ()
00404b10	12	`dynamic initializer for 'unit_names''	void ()
00404b20	12	`dynamic initializer for 'build_list''	void ()
00404b30	12	`dynamic initializer for 'build_names''	void ()
00404b40	17	`dynamic initializer for 'circle_gen''	void ()
00404b60	18	`dynamic initializer for 'ctw_intro_win''	void ()
00404b80	17	`dynamic initializer for 'conquest_render_states''	void ()
00404ba0	18	`dynamic initializer for 'signposts''	void ()
00404bc0	12	`dynamic initializer for 'underlay_names''	void ()
00404bd0	17	`dynamic initializer for 'auto_save''	void ()
00404bf0	17	`dynamic initializer for 'about_box''	void ()
00404c10	18	`dynamic initializer for 'replay_win''	void ()
00404c30	84	`dynamic initializer for 'current_version''	void ()
00404c90	22	`dynamic initializer for 'copyright_string''	void ()
00404cb0	22	`dynamic initializer for 'gamespy_copyright_string''	void ()
00404cd0	18	`dynamic initializer for 'options_win''	void ()
00404cf0	91	`dynamic initializer for 'exe_version''	void ()
00404d50	91	`dynamic initializer for 'gold_version''	void ()
00404db0	91	`dynamic initializer for 'patch1_version''	void ()
00404e10	91	`dynamic initializer for 'ea_version''	void ()
00404e70	91	`dynamic initializer for 'patch2_version''	void ()
00404ed0	91	`dynamic initializer for 'patch3_beta1_version''	void ()
00404f30	91	`dynamic initializer for 'patch3_beta2_version''	void ()
00404f90	91	`dynamic initializer for 'patch3_beta3_version''	void ()
00404ff0	91	`dynamic initializer for 'patch3_beta4_version''	void ()
00405050	91	`dynamic initializer for 'xpack_rtm_version''	void ()
004050b0	12	`dynamic initializer for 'Recycler<BRTreeNode<TreeNode<PathNode *,int> *,unsigned long> >::temp_pool''	void ()
004050c0	12	`dynamic initializer for 'Recycler<BRTreeNode<PathNode *,unsigned long> >::temp_pool''	void ()
004050d0	12	`dynamic initializer for 'Recycler<BRTreeNode<int,unsigned long> >::temp_pool''	void ()
004050e0	12	`dynamic initializer for 'Recycler<TreeNode<PathNode *,int> >::temp_pool''	void ()
004050f0	12	`dynamic initializer for 'Recycler<TreeNode<CollBlock *,int> >::temp_pool''	void ()
00405100	12	`dynamic initializer for 'Recycler<TreeNode<RenderObject,int> >::temp_pool''	void ()
00405110	12	`dynamic initializer for 'Recycler<TreeNode<Guy const *,float> >::temp_pool''	void ()
00405120	12	`dynamic initializer for 'Recycler<TreeNode<Item const *,int> >::temp_pool''	void ()
00405130	12	`dynamic initializer for 'Recycler<TreeNode<Good const *,int> >::temp_pool''	void ()
00405140	12	`dynamic initializer for 'Recycler<TreeNode<DeathObj const *,int> >::temp_pool''	void ()
00405150	12	`dynamic initializer for 'Recycler<LLNode<Vector<float>,int> >::temp_pool''	void ()
00405160	12	`dynamic initializer for 'Recycler<LLNode<String,int> >::temp_pool''	void ()
00405170	12	`dynamic initializer for 'Recycler<LLNode<int,short> >::temp_pool''	void ()
00405180	12	`dynamic initializer for 'Recycler<LLNode<int,char> >::temp_pool''	void ()
00405190	12	`dynamic initializer for 'Recycler<LLNode<int,unsigned char> >::temp_pool''	void ()
004051a0	12	`dynamic initializer for 'Recycler<LLNode<MouseOverScriptText *,int> >::temp_pool''	void ()
004051b0	12	`dynamic initializer for 'Recycler<LLNode<MessageWinEntry *,int> >::temp_pool''	void ()
004051c0	12	`dynamic initializer for 'Recycler<LLNode<short,int> >::temp_pool''	void ()
004051d0	12	`dynamic initializer for 'Recycler<LLNode<String,unsigned char> >::temp_pool''	void ()
004051e0	12	`dynamic initializer for 'Recycler<LLNode<GatherPoint *,unsigned char> >::temp_pool''	void ()
004051f0	12	`dynamic initializer for 'Recycler<LLNode<QueueItem *,int> >::temp_pool''	void ()
00405200	12	`dynamic initializer for 'Recycler<LLNode<ConquestBonusCard,int> >::temp_pool''	void ()
00405210	12	`dynamic initializer for 'Recycler<LLNode<String,short> >::temp_pool''	void ()
00405220	12	`dynamic initializer for 'Recycler<LLNode<EditorGroup,int> >::temp_pool''	void ()
00405230	12	`dynamic initializer for 'Recycler<LLNode<EditorOrder,int> >::temp_pool''	void ()
00405240	12	`dynamic initializer for 'Recycler<LLNode<ScenarioMessage,int> >::temp_pool''	void ()
00405250	12	`dynamic initializer for 'Recycler<LLNode<ScenarioObjective *,int> >::temp_pool''	void ()
00405260	12	`dynamic initializer for 'Recycler<LLNode<int,String> >::temp_pool''	void ()
00405270	12	`dynamic initializer for 'Recycler<LLNode<unsigned char,unsigned short> >::temp_pool''	void ()
00405280	12	`dynamic initializer for 'Recycler<LLNode<XMLElement,int> >::temp_pool''	void ()
00405290	12	`dynamic initializer for 'Recycler<Tree<PathNode *,int> >::temp_pool''	void ()
004052a0	12	`dynamic initializer for 'Recycler<Tree<CollBlock *,int> >::temp_pool''	void ()
004052b0	12	`dynamic initializer for 'Recycler<BRTree<TreeNode<PathNode *,int> *,unsigned long> >::temp_pool''	void ()
004052c0	12	`dynamic initializer for 'Recycler<BRTree<PathNode *,unsigned long> >::temp_pool''	void ()
004052d0	12	`dynamic initializer for 'Recycler<BRTree<int,unsigned long> >::temp_pool''	void ()
004052e0	12	`dynamic initializer for 'Recycler<TextBubble>::temp_pool''	void ()
004052f0	12	`dynamic initializer for 'Recycler<Guy>::temp_pool''	void ()
00405300	12	`dynamic initializer for 'Recycler<PingStripSplineRender>::temp_pool''	void ()
00405310	12	`dynamic atexit destructor for '_instance''	void ()
00405320	36	`dynamic initializer for 'logo_ibuf''	void ()
00405350	36	`dynamic initializer for 'logo_stream''	void ()
00405380	36	`dynamic initializer for 'logo_tex0''	void ()
004053b0	36	`dynamic initializer for 'logo_normalmap''	void ()
004053e0	17	`dynamic initializer for 'player_profile''	void ()
00405400	627	`dynamic initializer for 'gameinfo_strings''	void ()
00405680	484	`dynamic initializer for 'playerpref_strings''	void ()
00405870	36	`dynamic initializer for 'BuildQueueData::mem_lists''	void ()
004058a0	133	`dynamic initializer for 'land_key''	void ()
00405930	75	`dynamic initializer for 'used_blocks''	void ()
00405980	12	`dynamic initializer for 'Recycler<PathNode>::temp_pool''	void ()
00405990	12	`dynamic initializer for 'Recycler<PathData>::temp_pool''	void ()
004059a0	12	`dynamic initializer for 'Map::map_file_mapping''	void ()
004059b0	22	`dynamic initializer for 'global_xml_file''	void ()
004059d0	22	`dynamic initializer for 'global_xml_default''	void ()
004059f0	132	`dynamic initializer for 'global_cur_element''	void ()
00405a80	132	`dynamic initializer for 'global_cur_element2''	void ()
00405b10	22	`dynamic initializer for 'global_cur_element2_string''	void ()
00405b30	399	`dynamic initializer for 'region_dbg_strings''	void ()
00405cc0	58	`dynamic initializer for 'TerrainGroup::orthog_xlist''	void ()
00405d00	58	`dynamic initializer for 'TerrainGroup::orthog_ylist''	void ()
00405d40	58	`dynamic initializer for 'TerrainGroup::corner_xlist''	void ()
00405d80	58	`dynamic initializer for 'TerrainGroup::corner_ylist''	void ()
00405dc0	18	`dynamic initializer for 'workshop_win''	void ()
00405de0	36	`dynamic initializer for 'WorkshopWin::tab_names''	void ()
00405e10	36	`dynamic initializer for 'WorkshopWin::internal_tab_names''	void ()
00405e40	12	`dynamic initializer for 'WorldData::offmap_world''	void ()
00405e50	589	`dynamic initializer for 'OrderNames''	void ()
004060a0	12	`dynamic initializer for 'Recycler<RecycledOrderNode>::temp_pool''	void ()
004060b0	252	`dynamic initializer for 'CaravanOut::caravan_spline''	void ()
004061b0	95	`dynamic initializer for 'CaravanOut::path_verts''	void ()
00406210	12	`dynamic initializer for 'Recycler<AnimNotice>::temp_pool''	void ()
00406220	75	`dynamic initializer for 'AnimNotice::notices''	void ()
00406270	18	`dynamic initializer for 'credits_win''	void ()
00406290	27	`dynamic initializer for 'directory''	void ()
004062e0	29058	`dynamic initializer for 'KeyMap::keymap_strings''	void ()
0040d470	36	`dynamic initializer for 'KeyMap::keygroup_strings''	void ()
0040d4a0	36	`dynamic initializer for 'KeyMap::keymap_mouse_strings''	void ()
0040d4d0	17	`dynamic initializer for 'xml_windows''	void ()
0040d4f0	12	`dynamic initializer for 'alpha''	void ()
0040d500	22	`dynamic initializer for 'previous''	void ()
0040d520	12	`dynamic initializer for 'who_list''	void ()
