type_id	name_internal	name_display	type	job_time	res_time	tribe_mask	cat	cost0	cost1	cost2	cost3	cost4	cost5	preq0	preq1	preq2	from	where	upgrade	jump	obs	show0	show1	modified	grid_x	grid_y	obj_masks	attack	to_hit	attenuate	recharge	min_range	max_range	splash_area	splash_percent	ammo_per_att	proj_speed	hits	armor	domain	los	science_los	guy_spacing	x_spacing	y_spacing	abil	x_size	y_size	guy_radius	block_radius	big_radius	new_block_radius	new_big_radius	fly_high	fly_low	block_points	graft	special_upgrade	special_upgrade_cost	support0	support1	support_cost0	support_cost1	age
10	Dye	Dye	10	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
11	Silk	Silk	11	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
12	Spice	Spice	12	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
13	Salt	Salt	13	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
14	Horses	Horses	14	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
15	Rubber	Rubber	15	0	0	4294967295	0	0	0	0	0	0	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
16	Sulphur	Sulphur	16	0	0	4294967295	0	0	0	0	0	0	0	546	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
17	Amber	Amber	17	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
18	Silver	Silver	18	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
19	Tobacco	Tobacco	19	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
20	Marble	Marble	20	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
21	Furs	Furs	21	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
22	Cotton	Cotton	22	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
23	Bison	Bison	23	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
24	Copper	Copper	24	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
25	Peacocks	Peacocks	25	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
26	Citrus	Citrus	26	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
27	Sugar	Sugar	27	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
28	Diamonds	Diamonds	28	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
29	Gems	Gems	29	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
30	Aluminum	Aluminum	30	0	0	4294967295	0	0	0	0	0	0	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
31	Whales	Whales	31	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
32	Obsidian	Obsidian	32	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
33	Wool	Wool	33	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
34	Coal	Coal	34	0	0	4294967295	0	0	0	0	0	0	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	3	3	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
35	Uranium	Uranium	35	0	0	4294967295	0	0	0	0	0	0	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	4	4	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
36	Titanium	Titanium	36	0	0	4294967295	0	0	0	0	0	0	0	548	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
37	Cattle	Cattle	37	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
38	Huskies	Huskies	38	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
39	Olive Oil	Olive Oil	39	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
40	Gypsum	Gypsum	40	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
41	Beaver Pelts	Beaver Pelts	41	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
42	Gold	Gold	42	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
43	Rum	Rum	43	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
44	Coffee	Coffee	44	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
45	Bananas	Bananas	45	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
46	Salmon	Salmon	46	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
47	Iron Ore	Iron Ore	47	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
48	Maize	Maize	48	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
49	Incense	Incense	49	0	0	4294967295	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	2	2	0	0	0	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1
