type_id	name_internal	name_display	type	job_time	res_time	tribe_mask	cat	cost0	cost1	cost2	cost3	cost4	cost5	preq0	preq1	preq2	from	where	upgrade	jump	obs	show0	show1	modified	grid_x	grid_y	age
576		Levee en Masse	576	500	500	16777215	0	0	0	0	65	40	0	575	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	4
577		Nation-in-Arms	577	575	575	16777215	0	0	0	0	130	50	0	576	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	5
578		Selective Service	578	650	650	16777215	0	0	0	0	180	120	0	577	-1	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	6
579		Missile Shield	579	4000	4000	16777215	3	0	0	0	400	300	0	578	550	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	7
580		World Government	580	4000	4000	16777215	3	300	0	0	400	0	0	571	550	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	7
581		Global Prosperity	581	4000	4000	16777215	3	0	0	300	400	0	0	564	550	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	7
582		Artificial Intelligence	582	4000	4000	16777215	3	0	300	0	400	0	0	557	550	-1	-1	435	-1	-1	-2	-2	-2	0	4	2	7
583		Tactics	583	300	300	16777215	3	5	0	5	0	0	0	574	-1	545	-1	443	-1	-1	-2	-2	-1	0	1	2	2
584		Operations	584	350	350	16777215	3	15	0	15	0	0	0	575	583	546	-1	443	-1	-1	-2	-2	583	0	1	2	3
585		Strategy	585	450	450	16777215	3	30	0	30	0	0	0	577	584	548	-1	443	-1	-1	-2	-2	584	0	1	2	5
586		Religion	586	250	250	16777215	3	7	0	7	0	0	0	566	-1	-1	-1	437	-1	-1	-2	-2	-1	0	0	0	1
587		Monotheism	587	350	350	16777215	3	15	0	15	0	0	0	568	586	-1	-1	437	-1	-1	-2	-2	586	0	0	0	3
588		Existentialism	588	450	450	16777215	3	30	0	30	0	0	0	570	587	-1	-1	437	-1	-1	-2	-2	587	0	0	0	5
589		Taxation	589	200	200	16777215	3	8	8	0	0	0	0	565	-1	-1	-1	437	-1	-1	-2	-2	-1	0	1	0	1
590		Vassalage	590	300	300	16777215	3	16	16	0	0	0	0	567	589	-1	-1	437	-1	-1	-2	-2	589	0	1	0	2
591		Social Contract	591	400	400	16777215	3	32	32	0	0	0	0	569	590	-1	-1	437	-1	-1	-2	-2	590	0	1	0	4
592		Income Tax	592	500	500	16777215	3	48	48	0	0	0	0	570	591	-1	-1	437	-1	-1	-2	-2	591	0	1	0	5
593		Fortification	593	300	300	16777215	3	0	0	12	0	12	0	574	-1	545	-1	443	-1	-1	-2	-2	-1	0	0	2	2
594		Bombardment	594	350	350	16777215	3	0	0	24	0	24	0	575	593	546	-1	443	-1	-1	-2	-2	593	0	0	2	3
595		Strategic Reserves	595	450	450	16777215	3	0	0	36	0	36	0	577	594	548	-1	443	-1	-1	-2	-2	594	0	0	2	5
596		Allegiance	596	300	300	16777215	3	0	0	8	0	8	0	565	-1	544	-1	439	-1	-1	-2	-2	-1	0	1	0	1
597		Oath of Fealty	597	350	350	16777215	3	0	0	15	0	15	0	566	596	545	-1	439	-1	-1	-2	-2	596	0	1	0	2
598		Patriotism	598	400	400	16777215	3	0	0	30	0	30	0	568	597	547	-1	439	-1	-1	-2	-2	597	0	1	0	4
599		Nationalism	599	450	450	16777215	3	0	0	45	0	45	0	570	598	549	-1	439	-1	-1	-2	-2	598	0	1	0	6
600		Construction	600	250	250	16777215	3	0	8	8	0	0	0	552	-1	544	-1	424	-1	-1	-2	-2	-1	0	1	0	1
601		Architecture	601	300	300	16777215	3	0	15	15	0	0	0	553	600	546	-1	424	-1	-1	-2	-2	600	0	1	0	2
602		Engineering	602	400	400	16777215	3	0	35	35	0	0	0	555	601	548	-1	424	-1	-1	-2	-2	601	0	1	0	4
603		Herbal Lore	603	250	250	16777215	3	8	0	8	0	0	0	552	-1	544	-1	423	-1	-1	-2	-2	-1	0	1	0	1
604		Medicine	604	300	300	16777215	3	18	0	18	0	0	0	553	603	546	-1	423	-1	-1	-2	-2	603	0	1	0	3
605		Pharmaceuticals	605	400	400	16777215	3	35	0	35	0	0	0	555	604	548	-1	423	-1	-1	-2	-2	604	0	1	0	5
606		Forage	606	300	300	16777215	3	0	0	8	0	8	0	552	-1	545	-1	425	-1	-1	-2	-2	-1	0	1	0	2
607		Supply	607	400	400	16777215	3	0	0	16	0	16	0	554	606	547	-1	425	-1	-1	-2	-2	606	0	1	0	3
608		Logistics	608	500	500	16777215	3	0	0	24	0	24	0	556	607	549	-1	425	-1	-1	-2	-2	607	0	1	0	5
609		Carpentry	609	300	300	16777215	3	15	0	0	0	15	0	553	-1	-1	-1	424	-1	-1	-2	-2	-1	0	0	0	2
610		Logging Industry	610	350	350	16777215	3	25	0	0	0	25	0	554	609	-1	-1	424	-1	-1	-2	-2	609	0	0	0	3
611		Papermill	611	450	450	16777215	3	45	0	0	0	45	0	556	610	-1	-1	424	-1	-1	-2	-2	610	0	0	0	5
612		Agriculture	612	300	300	16777215	3	0	15	0	0	15	0	553	-1	-1	-1	423	-1	-1	-2	-2	-1	0	0	0	2
613		Crop Rotation	613	350	350	16777215	3	0	25	0	0	25	0	554	612	-1	-1	423	-1	-1	-2	-2	612	0	0	0	3
614		Food Industry	614	450	450	16777215	3	0	45	0	0	45	0	556	613	-1	-1	423	-1	-1	-2	-2	613	0	0	0	5
615		Literacy	615	300	300	16777215	3	0	20	0	0	0	0	553	-1	545	-1	420	-1	-1	-2	-2	-1	0	0	2	2
616		Printing Press	616	350	350	16777215	3	0	40	0	0	0	0	554	615	546	-1	420	-1	-1	-2	-2	615	0	0	2	3
617		Scientific Method	617	450	450	16777215	3	0	60	0	0	0	0	555	616	547	-1	420	-1	-1	-2	-2	616	0	0	2	4
618		Institutional Research	618	500	500	16777215	3	0	90	0	0	0	0	556	617	548	-1	420	-1	-1	-2	-2	617	0	0	2	5
619		Supercomputers	619	600	600	16777215	3	0	120	0	0	0	0	557	618	549	-1	420	-1	-1	-2	-2	618	0	0	2	6
620		Metal Alloys	620	350	350	16777215	3	25	25	0	0	0	0	554	-1	-1	-1	425	-1	-1	-2	-2	-1	0	0	0	3
621		Cold Casting	621	400	400	16777215	3	35	35	0	0	0	0	555	620	-1	-1	425	-1	-1	-2	-2	620	0	0	0	4
622		Steel	622	450	450	16777215	3	45	45	0	0	0	0	556	621	-1	-1	425	-1	-1	-2	-2	621	0	0	0	5
623		Despotism	623	400	400	16777215	3	7	0	7	0	0	0	-1	544	-1	-1	438	-1	-1	-2	-2	-1	0	0	0	1
624		Republic	624	400	400	16777215	3	7	0	0	0	7	0	-1	544	-1	-1	438	-1	-1	-2	-2	-1	0	2	0	1
625		Monarchy	625	700	700	16777215	3	0	0	25	20	0	0	-1	546	-1	-1	438	-1	-1	-2	-2	-1	0	0	1	3
626		Democracy	626	700	700	16777215	3	0	0	0	20	25	0	-1	546	-1	-1	438	-1	-1	-2	-2	-1	0	2	1	3
627		Socialism	627	1000	1000	16777215	3	0	0	75	50	0	0	-1	548	-1	-1	438	-1	-1	-2	-2	-1	0	0	2	5
628		Capitalism	628	1000	1000	16777215	3	0	0	0	50	75	0	-1	548	-1	-1	438	-1	-1	-2	-2	-1	0	2	2	5
