type_id	class	name_display	name_internal	obj_ptr
92	UnitType	Inti Macemen	INTIMACEMEN	0x225A146C
93	UnitType	Umpakati	UMPAKATI	0x225A50BC
94	UnitType	Yangombi Umpakati	YANGOMBIUMPAKATI	0x225A56C4
95	UnitType	Impi	IMPI	0x225A5CCC
96	UnitType	Fire Lances	FIRELANCES	0x225A62D4
97	UnitType	Heavy Fire Lances	FIRELANCEHEAVY	0x225A68DC
98	UnitType	Arquebusiers	ARQUEBUSIERS	0x16D53C5C
99	UnitType	Musketeers	MUSKETEERS	0x16D54E74
100	UnitType	Riflemen	RIFLEMEN	0x16D54264
101	UnitType	Riflemen	RIFLEMENGERMAN	0x16D5304C
102	UnitType	Infantry	INFANTRY	0x16D5547C
103	UnitType	Infantry	INFANTRYGER	0x16D53654
104	UnitType	Assault Infantry	ASSAULTINFANTRY	0x16D51E34
105	UnitType	Assault Infantry	ASSAULTINFANTRYCTWE	0x16D55A84
106	UnitType	Assault Infantry	ASSAULTINFANTRYCTWW	0x16D5243C
107	UnitType	Red Guards Infantry	REDGUARD	0x16D5608C
108	UnitType	Shock Infantry	SHOCKINFANTRY	0x16D5486C
109	UnitType	Volksgrenadiers	INFANTRYGERMAN	0x16D52A44
110	UnitType	Jaguar Infantry	JAGINFANTRY	0x16D56C9C
111	UnitType	Jaguar Assault Infantry	JAGUARASSAULTINF	0x16D56694
112	UnitType	Janissaries	JANISSARY	0x16D572A4
113	UnitType	Royal Janissaries	JANISSARYROYAL	0x16D590CC
114	UnitType	Highlanders	HIGHLANDER	0x16D596D4
115	UnitType	Black Watch	HIGHLANDERELITE	0x16D578AC
116	UnitType	Manchu Musketeers	MANCHUMUSKETEERS	0x16D57EB4
117	UnitType	Manchu Riflemen	MANCHURIFLEMEN	0x16D584BC
118	UnitType	Manchu Infantry	MANCHUINFANTRY	0x16D58AC4
119	UnitType	Continental Marines	MARINES	0x16D5A444
120	UnitType	Marine Riflemen	MARINERIFLEMEN	0x16D5C26C
121	UnitType	Marine Infantry	MARINEINFANTRY	0x16D5B054
122	UnitType	Assault Marines	ASSAULTMARINES	0x16D5C874
123	UnitType	Machine Gun	MACHINEGUN	0x16D5CE7C
124	UnitType	Machine Gun	MACHINEGUNGERMAN	0x16D5AA4C
125	UnitType	Heavy Machine Gun	HVYMACHINEGUN	0x16D5D484
126	UnitType	Heavy Machine Gun	HVYMACHINEGUNGERMAN	0x16D5B65C
127	UnitType	Advanced Machine Gun	ADVMACHINEGUN	0x16D59E3C
128	UnitType	Advanced Machine Gun	ADVMACHINEGUNCTWE	0x16D5DA8C
129	UnitType	Advanced Machine Gun	ADVMACHINEGUNCTWW	0x16D5BC64
130	UnitType	MG42	HVYMACHINEGUNGER	0x16D5F2AC
131	UnitType	Flamethrower	FLAMETHROWER	0x16D5F8B4
132	UnitType	Hoplites	HOPLITE	0x16D5FEBC
133	UnitType	Phalanx	PHALANX	0x16D5E69C
134	UnitType	Pikemen	PIKEMEN	0x16D5ECA4
135	UnitType	Elite Pikemen	PIKEMENELITE	0x16D604C4
136	UnitType	Fusiliers	FUSILIER	0x16D60ACC
137	UnitType	Anti-tank Rifle	ANTITANKRIFLE	0x16D610D4
138	UnitType	Anti-tank Rifle	ANTITANKRIFLEGERMAN	0x16D616DC
139	UnitType	Bazooka	BAZOOKA	0x16D5E094
140	UnitType	Bazooka	BAZOOKAGERMAN	0x16D6548C
141	UnitType	Anti-Tank Missile	TOW	0x16D62A54
142	UnitType	Anti-Tank Missile	TOWCTWE	0x16D6487C
143	UnitType	Anti-Tank Missile	TOWCTWW	0x16D64E84
144	UnitType	Recoilless Gun	RECOILGUN	0x16D6244C
145	UnitType	Dragon AT Missile	DRAGON	0x16D61E44
146	UnitType	Legions	LEGION	0x16D63C6C
147	UnitType	Caesar's Legions	LEGIONELITE	0x16D65A94
148	UnitType	Praetorian Guards	PIKELEGION	0x16D6609C
149	UnitType	Scutari	SCUTARI	0x16D6305C
150	UnitType	Royal Scutari	SCUTARIELITE	0x16D66CAC
151	UnitType	Tercios	SWORDSMEN	0x16D63664
152	UnitType	Royal Tercios	SWORDSMENELITE	0x16D672B4
153	UnitType	Solduri	SOLDURI	0x16D678BC
154	UnitType	Barbarians	BARBARIAN	0x16D666A4
155	UnitType	Vandals	BARBARIANVANDALS	0x16D64274
156	UnitType	Landsknechts	BARBARIANLANDS	0x16D67EC4
157	UnitType	Ashigaru Spearmen	ASHIGARU	0x16D684CC
158	UnitType	Bushi	BUSHI	0x16D690DC
159	UnitType	Elite Bushi	BUSHIELITE	0x16D68AD4
160	UnitType	Samurai	SAMURAI	0x16D696E4
161	UnitType	Gun Samurai	GUNSAMURAI	0x16D6BC74
162	UnitType	Immortals	IMMORTAL	0x16D6CE8C
163	UnitType	Anusiya	ANUSIYA	0x16D6B064
164	UnitType	Athanatoi	ATHANATOI	0x16D6C27C
165	UnitType	Arqimmortal	ARQIMMORTAL	0x16D6D494
166	UnitType	Spearmen	SPEARMEN	0x16D69E4C
167	UnitType	Mohawk Spearmen	MOHAWK	0x16D6DA9C
168	UnitType	Heavy Mohawk Spearmen	HEAVYMOHAWK	0x16D6B66C
169	UnitType	Elite Mohawk Spearmen	ELITEMOHAWK	0x16D6C884
170	UnitType	Bowmen	BOWMEN	0x16D6AA5C
171	UnitType	Archers	ARCHERS	0x16D6A454
172	UnitType	Crossbowmen	CROSSBOWMEN	0x16D70ADC
173	UnitType	Heavy Archers	HEAVYARCHERS	0x16D6F2BC
174	UnitType	Kushite Archers	KUSHARCHERS	0x16D6F8C4
175	UnitType	Royal Kushite Archers	KUSHARCHERSELITE	0x16D6FECC
176	UnitType	Apedemak Archers	APEDEMAK	0x16D704D4
177	UnitType	Longbowmen	LONGBOWMEN	0x16D710E4
178	UnitType	King's Longbowmen	LONGBOWMENELITE	0x16D716EC
179	UnitType	King's Yeomanry	KINGSYEOMANRY	0x16D6E0A4
180	UnitType	Hwarang	HWARANG	0x16D6E6AC
181	UnitType	Elite Hwarang	HWARANGELITE	0x16D6ECB4
182	UnitType	Royal Hwarang	KORYOHWARANG	0x16D73C7C
183	UnitType	Elite Royal Hwarang	CHOSONHWARANG	0x16D73674
184	UnitType	Immortal Bowmen	IMMORTALBOW	0x16D7245C
185	UnitType	Anusiya Archers	ATHANATOIBOW	0x16D72A64
186	UnitType	Athanatoi Archers	ATHANATOIBOW	0x16D74284
187	UnitType	Horse Archer	HORSEARCHER	0x16D7306C
188	UnitType	Heavy Horse Archer	HEAVYCAVARCHER	0x16D7488C
189	UnitType	Dragoon	DRAGOON	0x16D74E94
190	UnitType	Carabineer	CARBINEER	0x16D7549C
191	UnitType	Camel Archer	CAMELARCHER	0x16D71E54
192	UnitType	Heavy Camel Archer	HEAVYCAMARCHER	0x16D77ED4
193	UnitType	Camel Raider	CAMELRAIDER	0x16D75AA4
194	UnitType	Camel Corps	CAMELCORPS	0x16D784DC
195	UnitType	Chariot	CHARIOT	0x16D76CBC
196	UnitType	Heavy Chariot	HEAVYCHARIOT	0x16D778CC
197	UnitType	Mameluke	MAMELUKE	0x16D790EC
198	UnitType	Royal Mameluke	ROYALMAMELUKE	0x16D78AE4
199	UnitType	Nomad	NOMADS	0x16D796F4
200	UnitType	Steppe Nomad	ELITENOMADS	0x16D772C4
201	UnitType	Conquistador	CONQUISTADOR	0x16D760AC
202	UnitType	Elite Conquistador	ECONQUISTADOR	0x16D766B4
203	UnitType	Horde	HORDE	0x16D7B67C
204	UnitType	Golden Horde	GOLDENHORDE	0x16D7BC84
205	UnitType	Sunka Wakan	SUNKAWAKAN	0x16D7A464
206	UnitType	Eagle Feather Horse	EAGLEFEATHER	0x16D7AA6C
207	UnitType	Musket Horse	MUSKETHORSE	0x16D7C28C
208	UnitType	Repeating Rifle Horse	RIFLEHORSE	0x16D7B074
209	UnitType	Light Horse	LIGHTHORSE	0x16D7C894
210	UnitType	Light Cavalry	LIGHTCAVALRY	0x16D7CE9C
211	UnitType	Elite Light Cavalry	LTCAVALRYELITE	0x16D79E5C
212	UnitType	Hussar	HUSSAR	0x16D7FEDC
213	UnitType	Light Camel	LIGHTCAMEL	0x16D804E4
214	UnitType	Camel Warrior	CAMELRIDER	0x16D80AEC
215	UnitType	Elite Camel Warrior	ELITECAMEL	0x16D7D4A4
216	UnitType	Armored Car	ARMOREDSCOUTCAR	0x16D810F4
217	UnitType	Armored Car	GREYHOUND	0x16D7F2CC
218	UnitType	Armored Scout Car	ARMOREDCAR	0x16D7DAAC
219	UnitType	Armored Scout Car	ARMOREDCAR2	0x16D7E6BC
220	UnitType	Armored Cavalry	ARMOREDCAVALRY	0x16D816FC
221	UnitType	Armored Cavalry	ARMOREDCAVALRYCTWE	0x16D7F8D4
222	UnitType	Armored Cavalry	ARMOREDCAVALRYCTWW	0x16D7E0B4
223	UnitType	Armored Cavalry	BMP	0x16D7ECC4
224	UnitType	Rusiny Lancer	RUSINYLANCER	0x16D84EA4
225	UnitType	Cossack	COSSACK	0x16D83C8C
226	UnitType	Don Cossack	DONCOSSACK	0x16D84294
227	UnitType	Cataphract	CATAPHRACT	0x16D854AC
228	UnitType	Knight	KNIGHTS	0x16D8489C
229	UnitType	Heavy Knight	KNIGHTSELITE	0x16D81E64
230	UnitType	Cuirassier	CUIRASSIER	0x16D8307C
231	UnitType	Companion	COMPANION	0x16D85AB4
232	UnitType	Royal Companion	COMPANIONELITE	0x16D83684
233	UnitType	Stratiotai	STRATIOTAI	0x16D8246C
234	UnitType	Royal Stratiotai	STRATIOTAIHEAVY	0x16D860BC
235	UnitType	Chevalier	CHEVALIER	0x16D82A74
236	UnitType	Heavy Chevalier	CHEVALIERHEAVY	0x16D878DC
237	UnitType	Horse Grenadier	HORSEGRENADIER	0x16D87EE4
238	UnitType	Horse Guard Grenadier	HORSEGUARDGREN	0x16D86CCC
239	UnitType	Light Tank	LIGHTTANK	0x16D88AF4
240	UnitType	Light Tank	MARK4	0x16D872D4
241	UnitType	Light Tank	MARK4DES	0x16D866C4
242	UnitType	Light Tank	A7V	0x16D884EC
243	UnitType	Light Tank	A7VDES	0x16D890FC
244	UnitType	Tank	MEDIUMTANK	0x16D89704
245	UnitType	Tank	CHURCHILLDES	0x16B6017C
246	UnitType	Tank	SHERMAN	0x16B60784
247	UnitType	Tank	SHERMANDES	0x16B5D744
248	UnitType	Tank	T34	0x16B5D13C
249	UnitType	Tank	CHIHA	0x16B5E354
250	UnitType	Tank	PANZER	0x16B5DD4C
251	UnitType	Main Battle Tank	HEAVYTANK	0x16B5E95C
252	UnitType	Main Battle Tank	HEAVYTANKCTWE	0x16B5EF64
253	UnitType	Main Battle Tank	HEAVYTANKCTWW	0x16B5F56C
254	UnitType	Main Battle Tank	ABRAM	0x16B5FB74
255	UnitType	Main Battle Tank	ABRAMDES	0x16B54684
256	UnitType	Main Battle Tank	T80	0x16B52E64
257	UnitType	Main Battle Tank	T80DES	0x16B5285C
258	UnitType	Tiger Tank	TIGERTANK	0x16B52254
259	UnitType	Leopard Tank	LEOPARDTANK	0x16B5346C
260	UnitType	T80 Tank	RUSSHEAVYTANK	0x16B5103C
261	UnitType	War Elephant	HVYELEPHANT	0x16B53A74
262	UnitType	Mahout	MAHOUT	0x16B51644
263	UnitType	Gun Mahout	GUNMAHOUT	0x16B5407C
264	UnitType	Culverin Mahout	CULMAHOUT	0x16B54C8C
265	UnitType	Catapult	CATAPULT	0x16B55294
266	UnitType	Trebuchet	TREBUCHET	0x16B51C4C
267	UnitType	Bombard	BOMBARD	0x16B55EA4
268	UnitType	Cannon	CANNON	0x16B58EE4
269	UnitType	Artillery	ARTILLERY	0x16B57CCC
270	UnitType	Artillery	ARTILLERYGERMAN	0x16B576C4
271	UnitType	Howitzer	HOWITZER	0x16B588DC
272	UnitType	Howitzer	HUMMEL	0x16B56AB4
273	UnitType	Rocket Artillery	MLRS	0x16B5589C
274	UnitType	Mortar	MORTAR	0x16B594EC
275	UnitType	Siege Mortar	SIEGEMORTAR	0x16B570BC
276	UnitType	Basilica Bombard	BASILICABOMBARD	0x16B564AC
277	UnitType	Basilica Cannon	BASILICACANNON	0x16B5A0FC
278	UnitType	Katyusha Rocket	KATYUSHA	0x16B5B314
279	UnitType	Flaming Arrow	FLAMINGARROW	0x16B59AF4
280	UnitType	Heavy Flaming Arrow	HVYFLAMINGARROW	0x16B5A704
281	UnitType	Anti-Aircraft Gun	AAGUN	0x16B5AD0C
282	UnitType	Anti-Aircraft Battery	FLAKGUN	0x16B5B91C
283	UnitType	Anti-Aircraft Battery	FLAKGUNGERMAN	0x16B582D4
284	UnitType	Anti-Aircraft Missile	AVENGER	0x16B5BF24
285	UnitType	Anti-Aircraft Missile	AVENGERCTWE	0x16B5C52C
286	UnitType	Anti-Aircraft Missile	AVENGERCTWW	0x16B5CB34
287	UnitType	Biplane	BIPLANE	0x16B62864
288	UnitType	Biplane	ALBATROSS	0x16B6225C
289	UnitType	Fighter	FIGHTER	0x16B63474
290	UnitType	Fighter	P40	0x16B6164C
291	UnitType	Fighter	P40DES	0x16B62E6C
292	UnitType	Fighter	ME109	0x16B61044
293	UnitType	Fighter	FIGHTERZERO	0x16B61C54
294	UnitType	Fighter	MUSTANG	0x16B664B4
295	UnitType	Jet Fighter	JETFIGHTER	0x16B65EAC
296	UnitType	Jet Fighter	MIRAGE	0x16B6468C
297	UnitType	Jet Fighter	TORNADO	0x16B66ABC
298	UnitType	Jet Fighter	TORNADODES	0x16B64C94
299	UnitType	Jet Fighter	MIG	0x16B6529C
300	UnitType	Jet Fighter	MIGDES	0x16B670C4
301	UnitType	Advanced Fighter	ADVFIGHTER	0x16B63A7C
302	UnitType	Hawk Fighter	HAWKFB	0x16B676CC
303	UnitType	Eagle Fighter	EAGLEFB	0x16B658A4
304	UnitType	Bomber	BOMBER	0x16B64084
305	UnitType	Strategic Bomber	STRATEGICBOMBER	0x16B6AD14
306	UnitType	Stealth Bomber	STEALTHBOMBER	0x16B6B31C
307	UnitType	Lancaster Bomber	LANCASTERBOMBER	0x16B6A70C
308	UnitType	Fighter Bomber	FIGHTERBOMBER	0x16B688E4
309	UnitType	Jet Fighter Bomber	JETFIGHTERBOMBER	0x16B6A104
310	UnitType	Helicopter	HELICOPTER	0x16B67CD4
311	UnitType	Attack Helicopter	ATTACKHELICOPTER	0x16B69AFC
312	UnitType	Attack Helicopter	HIND	0x16B6B924
313	UnitType	V2 Rocket	V2ROCKET	0x16B68EEC
314	UnitType	Cruise Missile	CRUISEMISSILE	0x16B682DC
315	UnitType	Nuclear Missile	NUCLEARMISSILE	0x16B6BF2C
316	UnitType	Nuclear ICBM	NUCLEARICBMMISSILE	0x16B6C534
317	UnitType	Fishermen	FISHERMEN	0x16B6CB3C
318	UnitType	Merchant Fleet	MERCHANTFLEET	0x16B694F4
319	UnitType	Modern Merchant Fleet	MODMERCHANTFLEET	0x16B6FB7C
320	UnitType	Transport Barge	TRANSPORT	0x16B7078C
321	UnitType	Transport Galleon	TRANSPORTGALLEON	0x16B6D144
322	UnitType	Transport Freighter	XPORTFREIGHT	0x16B6EF6C
323	UnitType	Bark	BARK	0x16B6E35C
324	UnitType	Dromon	DROMON	0x16B6F574
325	UnitType	Caravel	CARAVEL	0x16B70184
326	UnitType	Corvette	CORVETTE	0x16B6D74C
327	UnitType	Sloop	SLOOP	0x16B6E964
328	UnitType	Destroyer	DESTROYER	0x16B6DD54
329	UnitType	Cruiser	CRUISER	0x16B71654
330	UnitType	Missile Cruiser	MISSILECRUISER	0x16B7104C
331	UnitType	Brig	BRIG	0x16B7408C
332	UnitType	Fluyt	FLUYT	0x16B72264
333	UnitType	Clipper	CLIPPER	0x16B7286C
334	UnitType	Fire Raft	FIRERAFT	0x16B73A84
335	UnitType	Heavy Fire Raft	HEAVYFIRERAFT	0x16B74694
336	UnitType	Fireship	FIRESHIP	0x16B74C9C
337	UnitType	Heavy Fireship	HEAVYFIRESHIP	0x16B752A4
338	UnitType	Submarine	SUBMARINE	0x16B72E74
339	UnitType	Attack Submarine	ATTACKSUB	0x16B71C5C
340	UnitType	Trireme	TRIREME	0x16B758AC
341	UnitType	Galley	GALLEY	0x16B75EB4
342	UnitType	Carrack	GALLEON	0x16B764BC
343	UnitType	Frigate	FRIGATE	0x16B76AC4
344	UnitType	Man o' War	MANOWAR	0x16B7347C
345	UnitType	Siegeship	SIEGESHIP	0x16B77CDC
346	UnitType	Bomb Vessel	BOMBARDSHIP	0x16B794FC
347	UnitType	Bomb Ketch	MORTARSHIP	0x16B78EF4
348	UnitType	Dreadnought	DREADNOUGHT	0x16B782E4
349	UnitType	Battleship	BATTLESHIP	0x16B788EC
350	UnitType	Advanced Battleship	ADVANCEDBATTLESHIP	0x16B79B04
351	UnitType	Aircraft Carrier	AIRCRAFTCARRIER	0x16B7A10C
352	UnitType	The Despot	THEDESPOT	0x16B7A714
353	UnitType	The Senator	THESENATOR	0x16B770CC
354	UnitType	The Monarch	THEMONARCH	0x16B7AD1C
355	UnitType	The President	THEPRESIDENT	0x16B776D4
356	UnitType	The Comrade	THECITIZEN	0x16B7CB44
357	UnitType	The CEO	THECEO	0x16B7B324
358	UnitType	Alexander	ALEXANDER	0x16B7BF34
359	UnitType	Napoleon	NAPOLEON	0x16B7B92C
360	UnitType	Parmenio	PARMENIO	0x16B7C53C
361	UnitType	Antipater	ANTIPATER	0x16B80794
362	UnitType	Ptolemy	PTOLEMY	0x16B7DD5C
363	UnitType	Darius	DARIUS	0x16B7FB84
364	UnitType	Memnon	MEMNON	0x16B7D754
365	UnitType	Spitamenes	SPITAMENES	0x16B7D14C
366	UnitType	Chandragupta Maurya	CHANDRAGUPTA	0x16B7E96C
367	UnitType	Porus	PORUS	0x16B7EF74
368	UnitType	Wellington	WELLINGTON	0x16B7F57C
369	UnitType	Archduke Charles	CHARLES	0x16B7E364
370	UnitType	Djezzar	DJEZZAR	0x16B8018C
371	UnitType	Advisor Fouché	FOUCHE	0x16B8165C
372	UnitType	Commander Schwarzenberg	SCHWARZENBERG	0x16B81C64
373	UnitType	General Blucher	BLUCHER	0x16B8469C
374	UnitType	General Kutosov	KUTOSOV	0x16B83484
375	UnitType	Commander Paoli	PAOLI	0x16B8226C
376	UnitType	War Chariot	DARIUSCHARIOT	0x16B81054
377	UnitType	Ship of the Line	MANOWAR	0x16B83A8C
378	UnitType	Junkers	JUNKERS	0x16B84CA4
379	UnitType	Patrol Jeep	ARMOREDCAR	0x16B852AC
380	UnitType	Guerilla Fighters	INFANTRY	0x16B858B4
381	UnitType	Guerilla Fighters	INFANTRY	0x16B82E7C
382	UnitType	Guerilla Fighters	INFANTRY	0x16B82874
383	UnitType	Guerilla Fighters	INFANTRY	0x16B876DC
384	UnitType	Bandeirantes	BANDEIRANTES	0x16B84094
385	UnitType	Elite Bandeirantes	BANDEIRANTESELITE	0x16B87CE4
386	UnitType	Red Coats	MUSKETEERS	0x16B86ACC
387	UnitType	SAS	ELITESPECIAL	0x16B864C4
388	UnitType	Harrier Jet	ADVFIGHTER	0x16B88EFC
389	UnitType	Patrol Boat	PTBOAT	0x16B882EC
390	UnitType	Humvee	HUMVEE	0x16B870D4
391	UnitType	Barbarian Archers	BARBARIANARCHER	0x16B85EBC
392	UnitType	Barbarian Javelineers	BARBARIANJAVELINEERS	0x16B89504
393	UnitType	Barbarian Phalanx	BARBARIANPHALANX	0x16B89B0C
394	UnitType	Greek Mercenaries	GREEKMERCS	0x16B8B32C
395	UnitType	Imperial Guard	ROYALGUARD	0x16B8A114
396	UnitType	Galleon	FRIGATE	0x16B8BF3C
397	UnitType	Ironclad	IRONCLAD	0x16B8A71C
398	UnitType	Nuclear Missile Sub	TYPHOON	0x16B8AD24
399	UnitType	Catapult Ship	MORTARSHIP	0x16B8B934
400	UnitType	Fur Trapper	MERCHANTDUTCH	0x16B888F4
401	UnitType	Boadicea	BOUDICEAN	0x16B8C544
402	UnitType	Wild Bird	WILDBIRD	0x16B8CB4C
403	UnitType	Flock Bird	FLOCKBIRD	0x16B9079C
404	UnitType	Gull Bird	GULLBIRD	0x16B8D154
405	UnitType	Farm Pig	FARMPIG	0x16B8EF7C
406	UnitType	Farm Chicken	FARMCHICKEN	0x16B8E36C
407	UnitType	Herd Horse	HERDHORSES	0x16B8DD64
408	UnitType	Herd Sheep	HERDSHEEP	0x16B8E974
409	UnitType	Herd Bison	HERDBISON	0x16B8FB8C
410	UnitType	Herd Bear	HERDBLACKBEAR	0x16B8F584
411	UnitType	Herd Fish	HERDFISH	0x16B8D75C
412	UnitType	Herd Whales	HERDWHALES	0x16B90194
413	UnitType	Herd Peacock	HERDPEACOCKS	0x16B91664
414	BuildType	Small City	VILLAGE	0x16C963D4
415	BuildType	Large City	CITY	0x16C94F64
416	BuildType	Major City	METROPOLIS	0x16C97844
417	BuildType	Farm	FARM	0x16C985E4
418	BuildType	Woodcutter's Camp	WOODCUTTER	0x16C952CC
419	BuildType	Mine	MINE	0x16C97BAC
420	BuildType	University	UNIVERSITY	0x16C94BFC
421	BuildType	Oil Well	OILWELL	0x16C9894C
422	BuildType	Oil Platform	OILPLATFORM	0x16C98CB4
423	BuildType	Granary	GRANARY	0x16C9901C
424	BuildType	Lumber Mill	LUMBERMILL	0x16C99384
425	BuildType	Smelter	SMELTER	0x16C9599C
426	BuildType	Refinery	POWERPLANT	0x16C996EC
427	BuildType	Barracks	BARRACKS	0x16C9A7F4
428	BuildType	Stable	STABLE	0x16C99A54
429	BuildType	Auto Plant	AUTOPLANT	0x16C99DBC
430	BuildType	Siege Factory	SIEGEFACTORY	0x16C9A124
431	BuildType	Factory	FACTORY	0x16C9A48C
432	BuildType	Dock	DOCK	0x16C9AB5C
433	BuildType	Anchorage	ANCHORAGE	0x16CBE454
434	BuildType	Shipyard	SHIPYARD	0x16CBEE8C
435	BuildType	Library	LIBRARY	0x16CBE7BC
436	BuildType	Market	MARKET	0x16CBEB24
437	BuildType	Temple	TEMPLE	0x16CBF1F4
438	BuildType	Senate	SENATE	0x16CBDD84
439	BuildType	Tower	TOWER	0x16CBF8C4
440	BuildType	Keep	KEEP	0x16CC0D34
441	BuildType	Stockade	STOCKADE	0x16CBF55C
442	BuildType	Bunker	BUNKER	0x16CBFC2C
443	BuildType	Fort	FORT	0x16CBFF94
444	BuildType	Castle	CASTLE	0x16CC02FC
445	BuildType	Fortress	FORTRESS	0x16CBE0EC
446	BuildType	Redoubt	REDOUBT	0x16CC0664
447	BuildType	Airbase	AIRBASE	0x16CC09CC
448	BuildType	El Dorado	ELDORADO	0x16CC109C
449	BuildType	Washington Monument	WASHINGTONMONUMENT	0x16CBD6B4
450	BuildType	Lenin Statue	LENINSTATUE	0x16CBDA1C
