group	name	return_type	params	xml_func_index	handler_va	funcset	in_binary
Camera	jump_camera	int_return	x x;y y	548	009fdc00	ScenarioFuncSet	yes
Camera	move_camera	int_return	x x;y y	547	009fdb50	ScenarioFuncSet	yes
Camera	scrolling_lock	void		531	009fd7f0	ScenarioFuncSet	yes
Camera	scrolling_lock_manual	void		534	009fd820	ScenarioFuncSet	yes
Camera	scrolling_lock_minimap	void		532	009fd800	ScenarioFuncSet	yes
Camera	scrolling_lock_shortcuts	void		533	009fd810	ScenarioFuncSet	yes
Camera	scrolling_unlock	void		535	009fd830	ScenarioFuncSet	yes
Camera	scrolling_unlock_manual	void		538	009fd860	ScenarioFuncSet	yes
Camera	scrolling_unlock_minimap	void		536	009fd840	ScenarioFuncSet	yes
Camera	scrolling_unlock_shortcuts	void		537	009fd850	ScenarioFuncSet	yes
Camera	zoom_in	int_return	x x;y y	545	009fd8d0	ScenarioFuncSet	yes
Camera	zoom_in_on	int_return	who who;object_o object_o	550	009fdd60	ScenarioFuncSet	yes
Camera	zoom_out	int_return	x x;y y	546	009fda10	ScenarioFuncSet	yes
Camera	zoom_out_on	int_return	who who;object_o object_o	551	009fde70	ScenarioFuncSet	yes
Camera	zooming_lock	void		539	009fd870	ScenarioFuncSet	yes
Camera	zooming_lock_manual	void		540	009fd880	ScenarioFuncSet	yes
Camera	zooming_lock_shortcuts	void		541	009fd890	ScenarioFuncSet	yes
Camera	zooming_unlock	void		542	009fd8a0	ScenarioFuncSet	yes
Camera	zooming_unlock_manual	void		543	009fd8b0	ScenarioFuncSet	yes
Camera	zooming_unlock_shortcuts	void		544	009fd8c0	ScenarioFuncSet	yes
Chat	chat	int_return	who who_to;who who_from;message message	37	009e3d80	ScenarioFuncSet	yes
Chat	chat_all	int_return	who who_from;message message	38	009e3e00	ScenarioFuncSet	yes
Cities	city_alarm_sounded	int_return	who who;city_name city_name	256	009ef430	ScenarioFuncSet	yes
Cities	city_assimilate	int_return	who who;city_name city_name	255	009ef3c0	ScenarioFuncSet	yes
Cities	city_assimilated_by	int_return	who who_defend;who who_attack;city_name city_name	253	009ef250	ScenarioFuncSet	yes
Cities	city_being_assimilated	int_return	who who;city_name city_name	254	009ef360	ScenarioFuncSet	yes
Cities	city_captured	int_return	who who;city_name city_name	250	009eee50	ScenarioFuncSet	yes
Cities	city_captured_by	int_return	who who_defend;who who_attack;city_name city_name	252	009ef040,009ef160	ScenarioFuncSet	yes
Cities	city_exists	int_return	city_name city_name	257	009ef4e0	ScenarioFuncSet	yes
Cities	city_id_captured	int_return	who who;build_o build_o	251	009eefb0	ScenarioFuncSet	yes
Cities	find_city_id	build_o	city_name city_name	258	009ef580	ScenarioFuncSet	yes
Cities	find_city_name	city_name	who who	261	009efbd0	ScenarioFuncSet	yes
Cities	find_city_owner	who	city_name city_name	259	009ef790	ScenarioFuncSet	yes
Cities	find_city_with_num	city_name	who who;city_num city_num	262	009eff00	ScenarioFuncSet	yes
Cities	get_city_level	num	city_name city_name	260	009ef9a0	ScenarioFuncSet	yes
Cities	num_city_buildings	num	who who;city_name city_name;build_type build_type;bool bool_count_inactive	263	009f0150	ScenarioFuncSet	yes
Comparison Checks	at_least_age	int_return	who who;age age	208	009ed310	ScenarioFuncSet	yes
Comparison Checks	at_least_buildings	int_return	who who;num num	215	009ed710	ScenarioFuncSet	yes
Comparison Checks	at_least_cities	int_return	who who;num num	210	009ed3b0	ScenarioFuncSet	yes
Comparison Checks	at_least_civilian_buildings	int_return	who who;num num	217	009ed810	ScenarioFuncSet	yes
Comparison Checks	at_least_civilian_units	int_return	who who;num num	218	009ed8a0	ScenarioFuncSet	yes
Comparison Checks	at_least_gather_rate	int_return	who who;num num;res_type res_type	213	009ed4a0	ScenarioFuncSet	yes
Comparison Checks	at_least_military_buildings	int_return	who who;num num	216	009ed780	ScenarioFuncSet	yes
Comparison Checks	at_least_military_units	int_return	who who;num num	219	009ed930	ScenarioFuncSet	yes
Comparison Checks	at_least_points	int_return	who who;num num	212	009ed450	ScenarioFuncSet	yes
Comparison Checks	at_least_pop	int_return	who who;num num	207	009ed2c0	ScenarioFuncSet	yes
Comparison Checks	at_least_settlements	int_return	who who;num num	211	009ed400	ScenarioFuncSet	yes
Comparison Checks	at_least_type	int_return	who who;num num;type type	214	009ed570	ScenarioFuncSet	yes
Comparison Checks	at_least_unit_category	int_return	who who;num num;unit_cat unit_cat	220	009ed9c0	ScenarioFuncSet	yes
Comparison Checks	at_least_villages	int_return	who who;num num	209	009ed360	ScenarioFuncSet	yes
Comparison Checks	less_than_age	int_return	who who;age age	222	009edab0	ScenarioFuncSet	yes
Comparison Checks	less_than_buildings	int_return	who who;num num	227	009ede10	ScenarioFuncSet	yes
Comparison Checks	less_than_civilian_buildings	int_return	who who;num num	229	009edf10	ScenarioFuncSet	yes
Comparison Checks	less_than_civilian_units	int_return	who who;num num	230	009edf90	ScenarioFuncSet	yes
Comparison Checks	less_than_gather_rate	int_return	who who;num num;res_type res_type	223	009edb00	ScenarioFuncSet	yes
Comparison Checks	less_than_military_buildings	int_return	who who;num num	228	009ede90	ScenarioFuncSet	yes
Comparison Checks	less_than_military_units	int_return	who who;num num	231	009ee010	ScenarioFuncSet	yes
Comparison Checks	less_than_points	int_return	who who;num num	225	009edc20	ScenarioFuncSet	yes
Comparison Checks	less_than_pop	int_return	who who;num num	221	009eda60	ScenarioFuncSet	yes
Comparison Checks	less_than_settlements	int_return	who who;num num	224	009edbd0	ScenarioFuncSet	yes
Comparison Checks	less_than_type	int_return	who who;num num;object_type object_type	226	009edc70	ScenarioFuncSet	yes
Comparison Checks	less_than_unit_category	int_return	who who;num num;unit_cat unit_cat	232	009ee090	ScenarioFuncSet	yes
Comparison Checks	time_earlier_than	int_return	seconds seconds	234	009ee160	ScenarioFuncSet	yes
Comparison Checks	time_later_than	int_return	seconds seconds	233	009ee120	ScenarioFuncSet	yes
Conquer the World-only functions	clear_ctw_val	void	str str_id	128	009e6430	ScenarioFuncSet	yes
Conquer the World-only functions	clear_ctw_vals	void		127	009e6410	ScenarioFuncSet	yes
Conquer the World-only functions	defeat_attacker_and_allies	int_return		116	009e5f60	ScenarioFuncSet	yes
Conquer the World-only functions	field_battle_disable	int_return		132	009e66e0	ScenarioFuncSet	yes
Conquer the World-only functions	field_battle_enable	int_return		131	009e66c0	ScenarioFuncSet	yes
Conquer the World-only functions	get_attack_age	int_return		121	009e61c0	ScenarioFuncSet	yes
Conquer the World-only functions	get_attack_from	string		118	009e6060	ScenarioFuncSet	yes
Conquer the World-only functions	get_attack_terr_str	int_return		122	009e61e0	ScenarioFuncSet	yes
Conquer the World-only functions	get_attack_to	string		119	009e6100	ScenarioFuncSet	yes
Conquer the World-only functions	get_attack_turn	int_return		120	009e61a0	ScenarioFuncSet	yes
Conquer the World-only functions	get_conquest_invasion_dir	degree		115	009e5ef0	ScenarioFuncSet	yes
Conquer the World-only functions	get_country_owner	string	str str_country	130	009e6470	ScenarioFuncSet	yes
Conquer the World-only functions	get_ctw_int	int_return	str str_id	125	009e6350	ScenarioFuncSet	yes
Conquer the World-only functions	get_ctw_seed	int_return		129	009e6460	ScenarioFuncSet	yes
Conquer the World-only functions	get_ctw_str	string	str str_id	126	009e6380	ScenarioFuncSet	yes
Conquer the World-only functions	get_num_times_played	int_return	str str_cat;str str_title	134	009e6710	ScenarioFuncSet	yes
Conquer the World-only functions	group_jump_move	int_return	who who;x x;y y;num num_angle	133	004ce010,009fa710,009fb2d0	ScenarioFuncSet	yes
Conquer the World-only functions	is_conquest_scenario	int_return		117	009e6040	ScenarioFuncSet	yes
Conquer the World-only functions	set_ctw_int	void	str str_id;num num_val	123	009e6230	ScenarioFuncSet	yes
Conquer the World-only functions	set_ctw_str	void	str str_id;str str_val	124	009e6280	ScenarioFuncSet	yes
Craft	set_unit_craft	int_return	who who;unit_o unit_o;percent percent	401	009f68a0	ScenarioFuncSet	yes
Craft	set_unit_type_max_craft	int_return	unit_type unit_type;num num_craftpoints	402	009f6980	ScenarioFuncSet	yes
Craft	unit_craft	int_return	who who;unit_o unit_o	400	009f6830	ScenarioFuncSet	yes
Craft	unit_max_craft	int_return	who who;unit_o unit_o	403	009f6ab0	ScenarioFuncSet	yes
Create Objects	create_building	int_return	who who_receiver;x x;y y;build_type build_type	382	009f4d30	ScenarioFuncSet	yes
Create Objects	create_building_near	int_return	who who_receiver;x x;y y;build_type build_type;dist_radius dist_radius	384	00a03160	ScenarioFuncSet	yes
Create Objects	create_building_upgrade	int_return	who who_receiver;x x;y y;build_type build_type	383	009f4f00	ScenarioFuncSet	yes
Create Objects	create_unit	int_return	who who_receiver;x x;y y;unit_type unit_type;num num_units	379	009f4c50	ScenarioFuncSet	yes
Create Objects	create_unit_in_group	int_return	who who_receiver;x x;y y;unit_type unit_type;num num_units	381	009f4c80	ScenarioFuncSet	yes
Create Objects	create_unit_upgrade	int_return	who who_receiver;x x;y y;unit_type unit_type;num num_units	380	00a030e0	ScenarioFuncSet	yes
Destroy/Kill Objects	destroy_building	int_return	who who;build_o build_o	408	009f6fc0	ScenarioFuncSet	yes
Destroy/Kill Objects	destroy_building_type	num	who who;build_type build_type	409	009f7030	ScenarioFuncSet	yes
Destroy/Kill Objects	kill_unit	int_return	who who;unit_o unit_o	404	009f6b20	ScenarioFuncSet	yes
Destroy/Kill Objects	kill_unit_anim	int_return	who who;unit_o unit_o;anim anim	405	009f6c70	ScenarioFuncSet	yes
Destroy/Kill Objects	kill_unit_type	int_return	who who;unit_type unit_type	406	009f6d70	ScenarioFuncSet	yes
Destroy/Kill Objects	kill_unit_type_anim	int_return	who who;unit_type unit_type;anim anim	407	009f6ea0	ScenarioFuncSet	yes
Diplomacy	accept_offer	int_return	who who_acceptor;who who_asker	487	009fc410	ScenarioFuncSet	yes
Diplomacy	add_visibility	int_return	who who;who who_target	495	009fc710	ScenarioFuncSet	yes
Diplomacy	amount_offered	num	who who_offering;who who_offered;res_type res_type	503	009fcc70	ScenarioFuncSet	yes
Diplomacy	contact_open	int_return		505	009fcd40	ScenarioFuncSet	yes
Diplomacy	declare_war	int_return	who who_declarer;who who_declaree	479	009fbe80	ScenarioFuncSet	yes
Diplomacy	demand_tribute	int_return	who who_asker;who who_askee;res_type res_type;num num	482	009fc110	ScenarioFuncSet	yes
Diplomacy	diplomacy_block_war	int_return	who who_blocking;who who_blocked	493	009fc630	ScenarioFuncSet	yes
Diplomacy	diplomacy_enable_war	int_return	who who_enabling;who who_enabled	494	009fc6a0	ScenarioFuncSet	yes
Diplomacy	diplomacy_open	int_return		504	009fcd30	ScenarioFuncSet	yes
Diplomacy	diplomacy_set_accept	int_return	who who	491	009fc5b0	ScenarioFuncSet	yes
Diplomacy	diplomacy_set_auto	int_return	who who	489	009fc530	ScenarioFuncSet	yes
Diplomacy	diplomacy_set_reject	int_return	who who	492	009fc5f0	ScenarioFuncSet	yes
Diplomacy	diplomacy_set_wait	int_return	who who	490	009fc570	ScenarioFuncSet	yes
Diplomacy	have_alliance	int_return	who who;who whom	508	009fcf50	ScenarioFuncSet	yes
Diplomacy	have_contact	int_return	who who;who whom	506	009fcd60	ScenarioFuncSet	yes
Diplomacy	have_fought	int_return	who who;who whom	511	009fd0b0	ScenarioFuncSet	yes
Diplomacy	have_peace	int_return	who who;who whom	509	009fcfc0	ScenarioFuncSet	yes
Diplomacy	have_trade	int_return	who who;who whom	507	009fcea0	ScenarioFuncSet	yes
Diplomacy	have_war	int_return	who who;who whom	510	009fd040	ScenarioFuncSet	yes
Diplomacy	is_offering_alliance	int_return	who who_asker;who who_askee	502	009fcc00	ScenarioFuncSet	yes
Diplomacy	is_offering_peace	int_return	who who_asker;who who_askee	501	009fcb90	ScenarioFuncSet	yes
Diplomacy	make_counter_offer	int_return	who who_initial_offer;who who_counter_offer;res_type res_type;num num_amount;message message	497	009fc850	ScenarioFuncSet	yes
Diplomacy	make_peace	int_return	who who_declarer;who who_declaree	480	009fbf20	ScenarioFuncSet	yes
Diplomacy	offer_accepted	int_return	who who_who_asker;who who_askee	499	009fcab0	ScenarioFuncSet	yes
Diplomacy	offer_alliance	int_return	who who_asker;who who_askee	484	009fc270	ScenarioFuncSet	yes
Diplomacy	offer_made	int_return	who who_who_asker;who who_askee	498	009fca20	ScenarioFuncSet	yes
Diplomacy	offer_mutual_attack	int_return	who who_asker;who who_askee;who who_target	485	009fc2f0	ScenarioFuncSet	yes
Diplomacy	offer_peace	int_return	who who_asker;who who_askee	483	009fc1f0	ScenarioFuncSet	yes
Diplomacy	offer_rejected	int_return	who who_who_asker;who who_askee	500	009fcb20	ScenarioFuncSet	yes
Diplomacy	offer_tribute	int_return	who who_sender;who who_receiver;res_type res_type;num num	481	009fc030	ScenarioFuncSet	yes
Diplomacy	reject_offer	int_return	who who_acceptor;who who_asker	488	009fc490	ScenarioFuncSet	yes
Diplomacy	remove_visibility	int_return	who who;who who_target	496	009fc7b0	ScenarioFuncSet	yes
Diplomacy	revoke_offer	int_return	who who_asker;who who_askee	486	009fc390	ScenarioFuncSet	yes
Diplomacy	was_attacked	int_return	who who_defender;who who_attacker;seconds seconds	513	009fd290	ScenarioFuncSet	yes
Diplomacy	was_capital_attacked	int_return	who who_defender;who who_attacker;seconds seconds	516	009fd640	ScenarioFuncSet	yes
Diplomacy	was_city_attacked	int_return	who who_defender;city_name city_name;seconds seconds	515	009fd510	ScenarioFuncSet	yes
Diplomacy	was_city_raided	int_return	who who_defender;city_name city_name;seconds seconds	514	009fd3e0	ScenarioFuncSet	yes
Diplomacy	was_raided	int_return	who who_defender;who who_attacker;seconds seconds	512	009fd140	ScenarioFuncSet	yes
File IO (XML)	close_file	int_return		582	00a034e0	ScenarioFuncSet	yes
File IO (XML)	file_entry_exists	int_return	data_element data_element	593	009fe810	ScenarioFuncSet	yes
File IO (XML)	file_exists	int_return	filename filename	592	009fe7f0	ScenarioFuncSet	yes
File IO (XML)	file_get_category	str		595	009fea10	ScenarioFuncSet	yes
File IO (XML)	file_next_entry	int_return		586	009fe5c0	ScenarioFuncSet	yes
File IO (XML)	file_read_attrib	str	data_attrib data_attrib;str str_default	585	009fe440	ScenarioFuncSet	yes
File IO (XML)	file_read_text	str	data_element data_element	584	009fe360	ScenarioFuncSet	yes
File IO (XML)	file_remove	int_return	data_element data_element	591	009fe720	ScenarioFuncSet	yes
File IO (XML)	file_set_category	int_return	data_element data_element;bool bool_use_existing	594	009fe8d0	ScenarioFuncSet	yes
File IO (XML)	file_sort_entries	int_return	data_element data_element;data_attrib data_attrib;bool bool_sort_descending	589	009fe500	ScenarioFuncSet	yes
File IO (XML)	file_traverse_entries	int_return	data_element data_element	590	009fe6d0	ScenarioFuncSet	yes
File IO (XML)	file_up_category	int_return		596	009feaa0	ScenarioFuncSet	yes
File IO (XML)	file_write_attrib	int_return	data_attrib data_attrib;any_value any_value	588	009fe6a0	ScenarioFuncSet	yes
File IO (XML)	file_write_text	int_return	data_element data_element;any_value any_value	587	009fe5f0	ScenarioFuncSet	yes
File IO (XML)	get_curr_filename	filename		583	009fe570	ScenarioFuncSet	yes
File IO (XML)	open_file	int_return	filename filename	581	009fe080	ScenarioFuncSet	yes
Flags	add_flag	int_return	x x;y y	529	009fd790	ScenarioFuncSet	yes
Flags	clear_flags	int_return		530	009fd7e0	ScenarioFuncSet	yes
Game Settings Info	building_costs_disable	int_return		97	009e5750	ScenarioFuncSet	yes
Game Settings Info	building_costs_enable	int_return		96	009e5720	ScenarioFuncSet	yes
Game Settings Info	building_resource_bonus_disable	int_return		93	009e5690	ScenarioFuncSet	yes
Game Settings Info	building_resource_bonus_enable	int_return		92	009e5660	ScenarioFuncSet	yes
Game Settings Info	building_unit_bonus_disable	int_return		91	009e5630	ScenarioFuncSet	yes
Game Settings Info	building_unit_bonus_enable	int_return		90	009e5600	ScenarioFuncSet	yes
Game Settings Info	buildings_gather_disable	int_return		89	009e5580	ScenarioFuncSet	yes
Game Settings Info	buildings_gather_enable	int_return		88	009e5500	ScenarioFuncSet	yes
Game Settings Info	change_to_ai	int_return	who who	114	009e5d20	ScenarioFuncSet	yes
Game Settings Info	change_to_human	int_return	who who	113	009e5c80	ScenarioFuncSet	yes
Game Settings Info	get_difficulty	num		83	009e5320	ScenarioFuncSet	yes
Game Settings Info	get_is_no_nation_powers	int_return		70	009e5230	ScenarioFuncSet	yes
Game Settings Info	get_leader_difficulty	num	who who	85	009e53b0	ScenarioFuncSet	yes
Game Settings Info	get_leader_name	str	who who	101	009e5850	ScenarioFuncSet	yes
Game Settings Info	get_player_profile_name	str		100	009e57e0	ScenarioFuncSet	yes
Game Settings Info	get_rush_rules	num		71	009e5240	ScenarioFuncSet	yes
Game Settings Info	get_time_limit	num		111	009e5bf0	ScenarioFuncSet	yes
Game Settings Info	is_paused	int_return		110	009e5be0	ScenarioFuncSet	yes
Game Settings Info	is_victory_conquest	int_return		73	009e5260	ScenarioFuncSet	yes
Game Settings Info	is_victory_economic	int_return		74	009e5270	ScenarioFuncSet	yes
Game Settings Info	is_victory_musical_chairs	int_return		75	009e5280	ScenarioFuncSet	yes
Game Settings Info	is_victory_score	int_return		76	009e5290	ScenarioFuncSet	yes
Game Settings Info	is_victory_standard	int_return		72	009e5250	ScenarioFuncSet	yes
Game Settings Info	is_victory_sudden_death	int_return		77	009e52a0	ScenarioFuncSet	yes
Game Settings Info	is_victory_tech_race	int_return		78	009e52b0	ScenarioFuncSet	yes
Game Settings Info	is_victory_territory	int_return		79	009e52c0	ScenarioFuncSet	yes
Game Settings Info	is_victory_time_limit	int_return		80	009e52d0	ScenarioFuncSet	yes
Game Settings Info	is_victory_wonder	int_return		81	009e52e0	ScenarioFuncSet	yes
Game Settings Info	pause_disable	int_return		107	009e5b60	ScenarioFuncSet	yes
Game Settings Info	pause_enable	int_return		106	009e5b50	ScenarioFuncSet	yes
Game Settings Info	pause_game	void		108	009e5b70	ScenarioFuncSet	yes
Game Settings Info	plunder_disable	int_return		87	009e5420	ScenarioFuncSet	yes
Game Settings Info	plunder_enable	int_return		86	009e53f0	ScenarioFuncSet	yes
Game Settings Info	set_difficulty	int_return	num num_difficulty	82	009e52f0	ScenarioFuncSet	yes
Game Settings Info	set_leader_difficulty	int_return	who who;num num_difficulty	84	009e5350	ScenarioFuncSet	yes
Game Settings Info	set_leader_name	int_return	who who;str str	102	009e5900	ScenarioFuncSet	yes
Game Settings Info	set_time_limit	int_return	seconds seconds	112	009e5c40	ScenarioFuncSet	yes
Game Settings Info	speed_control_disable	int_return		105	009e5b40	ScenarioFuncSet	yes
Game Settings Info	speed_control_enable	int_return		104	009e5b30	ScenarioFuncSet	yes
Game Settings Info	switch_player_control	int_return	who who	103	009e5960	ScenarioFuncSet	yes
Game Settings Info	tech_costs_disable	int_return		99	009e57b0	ScenarioFuncSet	yes
Game Settings Info	tech_costs_enable	int_return		98	009e5780	ScenarioFuncSet	yes
Game Settings Info	unit_costs_disable	int_return		95	009e56f0	ScenarioFuncSet	yes
Game Settings Info	unit_costs_enable	int_return		94	009e56c0	ScenarioFuncSet	yes
Game Settings Info	unpause_game	void		109	009e5ba0	ScenarioFuncSet	yes
General AI Toggles	disable_all_unit_ai	int_return	who who	563	009ff8e0	ScenarioFuncSet	yes
General AI Toggles	disable_city_ai	int_return	who who	568	009ffbf0	ScenarioFuncSet	yes
General AI Toggles	disable_city_defeat	int_return	who who	570	009ffc80	ScenarioFuncSet	yes
General AI Toggles	disable_combat_ai	int_return	who who	561	009ff860	ScenarioFuncSet	yes
General AI Toggles	disable_production_ai	int_return	who who	558	009ff7a0	ScenarioFuncSet	yes
General AI Toggles	disable_unit_ai	int_return	who who;unit_o unit_o	565	009ffa10	ScenarioFuncSet	yes
General AI Toggles	enable_all_unit_ai	int_return	who who	562	009ff8a0	ScenarioFuncSet	yes
General AI Toggles	enable_city_ai	int_return	who who	567	009ffba0	ScenarioFuncSet	yes
General AI Toggles	enable_city_defeat	int_return	who who	569	009ffc40	ScenarioFuncSet	yes
General AI Toggles	enable_combat_ai	int_return	who who	560	009ff820	ScenarioFuncSet	yes
General AI Toggles	enable_production_ai	int_return	who who	556	009ff5e0	ScenarioFuncSet	yes
General AI Toggles	enable_unit_ai	int_return	who who;unit_o unit_o	564	009ff920	ScenarioFuncSet	yes
General AI Toggles	force_transport_ability	int_return	who who	566	009ffb00	ScenarioFuncSet	yes
General AI Toggles	load_production_script	int_return	who who;filename filename	559	009ff7e0	ScenarioFuncSet	yes
General AI Toggles	set_auto_peasant_level	int_return	num num_level	557	009ff620	ScenarioFuncSet	yes
Groups	group_id	object_o	who who	170	004ce660,009fa090	ScenarioFuncSet	yes
Groups	involved_id	object_o		167	009ea0e0	ScenarioFuncSet	yes
Groups	involved_nation	who		168	009ea120	ScenarioFuncSet	yes
Groups	num_in_group	num	who who	169	004ce6c0,009fa060,009fa8c0	ScenarioFuncSet	yes
Groups	num_involved	num		166	009ea0d0	ScenarioFuncSet	yes
Health	damage_object	int_return	who who;object_o object_o;percent percent	396	009f5bd0	ScenarioFuncSet	yes
Health	heal_object	int_return	who who;object_o object_o;percent percent	397	009f5cb0	ScenarioFuncSet	yes
Health	object_health	int_return	who who;object_o object_o	394	009f5910	ScenarioFuncSet	yes
Health	object_max_health	int_return	who who;object_o object_o	399	009f5f60	ScenarioFuncSet	yes
Health	set_object_health	int_return	who who;object_o object_o;percent percent	395	009f5aa0	ScenarioFuncSet	yes
Health	set_object_type_max_health	int_return	object_type object_type;num num_hitpoints	398	009f5da0	ScenarioFuncSet	yes
Keyboard, Events	key_down	int_return	key key	341	009f3950	ScenarioFuncSet	yes
Keyboard, Events	key_released	int_return	key key	342	009f39a0	ScenarioFuncSet	yes
Map Info	clear_extra_starting_locs	void		69	009e5220	ScenarioFuncSet	yes
Map Info	find_extra_starting_loc	int_return	num num_nation_space;num num_land_space;bool bool_only_check_player	66	009e5070	ScenarioFuncSet	yes
Map Info	get_extra_starting_loc_x	num		67	009e51e0	ScenarioFuncSet	yes
Map Info	get_extra_starting_loc_y	num		68	009e5200	ScenarioFuncSet	yes
Map Info	get_map_size	num		56	009e4cb0	ScenarioFuncSet	yes
Map Info	get_mapstyle	str		57	009e4cc0	ScenarioFuncSet	yes
Map Info	get_tileset	str		58	009e4d20	ScenarioFuncSet	yes
Map Info	map_is_buildable	int_return	x x;y y	61	009e4e50	ScenarioFuncSet	yes
Map Info	map_is_land	int_return	x x;y y	59	009e4d90	ScenarioFuncSet	yes
Map Info	map_is_passable	int_return	x x;y y	60	009e4de0	ScenarioFuncSet	yes
Map Info	territory_object	object_o	who who;object_o object_o	65	009e4f50	ScenarioFuncSet	yes
Map Info	territory_owner	who	x x;y y	64	009e4f00	ScenarioFuncSet	yes
Map Info	world_x_size	num		62	009e4ee0	ScenarioFuncSet	yes
Map Info	world_y_size	num		63	009e4ef0	ScenarioFuncSet	yes
Map Visibility	add_reveal_point	int_return	who who;x x;y y;dist_radius dist_radius	48	009e4750	ScenarioFuncSet	yes
Map Visibility	clear_reveal_points	int_return	who who	49	009e4810	ScenarioFuncSet	yes
Map Visibility	set_explored	int_return	who who;x x;y y;dist_radius dist_radius	47	009e44b0,009e46f0	ScenarioFuncSet	yes
Map Visibility	set_seen	int_return	who who;who whose_build;build_o build_o	50	009e4860	ScenarioFuncSet	yes
Map Visibility	show_all_map_disable	int_return	who who	52	009e4a90	ScenarioFuncSet	yes
Map Visibility	show_all_map_enable	int_return	who who	51	009e4a30	ScenarioFuncSet	yes
Market	buy_good	int_return	who who;res_type res_type	472	009fb790	ScenarioFuncSet	yes
Market	can_buy_sell	int_return	who who	474	009fb970	ScenarioFuncSet	yes
Market	find_buy_price	num	who who;res_type res_type	476	009fbab0	ScenarioFuncSet	yes
Market	find_sell_price	num	who who;res_type res_type	475	009fb9e0	ScenarioFuncSet	yes
Market	get_base_rate	int_return	who who;res_type res_type	478	009fbc20	ScenarioFuncSet	yes
Market	give_good	int_return	who who;res_type res_type;num num	469	009fb590	ScenarioFuncSet	yes
Market	sell_good	int_return	who who;res_type res_type	473	009fb880	ScenarioFuncSet	yes
Market	set_base_rate	int_return	who who;res_type res_type;num num	477	009fbb80	ScenarioFuncSet	yes
