va	kind	off	aliases	symbol	type	mentions	docs
0x0047a160	PROC	+0	1	Recycler<BRTree<PathNode *,unsigned long> >::pop	BRTree<PathNode *,unsigned long>...	2	pathfinding.md
0x0047a2c0	PROC	+0	1	Recycler<BRTree<TreeNode<PathNode *,int> *,unsigned long> >::pop	BRTree<TreeNode<PathNode *,int> ...	2	pathfinding.md
0x0047a370	PROC	+0	1	Recycler<Tree<PathNode *,int> >::pop	Tree<PathNode *,int>* Recycler<T...	2	pathfinding.md
0x0047a820	PROC	+0	1	Stack<PathNode *>::increase_size	int Stack<PathNode *>::(int)	1	pathfinding.md
0x0047a920	PROC	+0	1	PathFinderOut::get_name	String PathFinderOut::()	1	pathfinding.md
0x004813b0	PROC	+0	1	FormData::log_data	void FormData::(Log*)	1	pdb-types.md
0x00487e70	PROC	+0	1	MoveOrder::log_data	void MoveOrder::(Log*)	1	pathfinding.md
0x0048f770	PROC	+0	1	Window::get_window_height	int Window::()	1	GOAL.md
0x004b3bb0	PROC	+0	1	LandData::log_data	void LandData::(Log*)	1	pdb-types.md
0x004b7350	PROC	+0	1	SyncLogger::logToMemory<int &,unsigned long &,int &,short &,int const &>	void SyncLogger::(const char*, i...	1	replay-stream.md
0x00509090	PROC	+0	1	destroy	int (gz_stream*)	1	replay-io.md
0x00509140	PROC	+0	1	gzread	int (void*, void*, unsigned)	2	replay-io.md
0x00509350	PROC	+0	1	gzwrite	int (void*, void* const, unsigne...	2	replay-io.md
0x005093f0	PROC	+0	1	do_flush	int (void*, int)	1	replay-io.md
0x00509670	PROC	+0	1	putLong	void (_iobuf*, unsigned long)	1	replay-io.md
0x00542579	PROC	+121	1	TextureEffect::increment	void TextureEffect::(float)	2	AUDIT.md,rng.md
0x0054258f	PROC	+143	1	TextureEffect::increment	void TextureEffect::(float)	2	AUDIT.md,rng.md
0x0054dcf0	PROC	+0	1	png_write_flush	void (png_struct_def*)	1	replay-io.md
0x00554ae0	PROC	+0	1	png_text_compress	int (png_struct_def*, char*, uns...	1	replay-io.md
0x00556fc0	PROC	+0	1	png_write_finish_row	void (png_struct_def*)	1	replay-io.md
0x00558170	PROC	+0	1	png_write_filtered_row	void (png_struct_def*, unsigned ...	1	replay-io.md
0x0055e0a6	PUB	+0	1	__purecall		2	checksum.md
0x00569a8d	NEAR	+1789	1	public: void __thiscall MOTD::exec(class String const &, int)		1	economy.md
0x00569a90	PROC	+0	1	Constants::init	int Constants::()	9	GOAL.md,README-LLM.md,binary-ground-truth.md,economy.md,provenance-ledger.md
0x00569dd3	PROC	+835	1	Constants::init	int Constants::()	1	provenance-ledger.md
0x00569deb	PROC	+859	1	Constants::init	int Constants::()	1	provenance-ledger.md
0x0056a123	PROC	+1683	1	Constants::init	int Constants::()	1	economy.md
0x0056c261	PROC	+10193	1	Constants::init	int Constants::()	1	economy.md
0x0056c476	PROC	+10726	1	Constants::init	int Constants::()	1	economy.md
0x0057016f	PROC	+26335	1	Constants::init	int Constants::()	3	economy.md,provenance-ledger.md
0x00570170	PROC	+0	1	Constants::log_data	void Constants::(Log*)	26	AUDIT.md,CHARTER.md,GOAL.md,README-LLM.md,binary-ground-truth.md,combat.md,economy.md,pdb-types.md,provenance-ledger.md
0x00573c69	PROC	+15097	1	Constants::log_data	void Constants::(Log*)	3	AUDIT.md,economy.md,provenance-ledger.md
0x00577f77	PROC	+32263	1	Constants::log_data	void Constants::(Log*)	1	economy.md
0x00577f93	PROC	+32291	1	Constants::log_data	void Constants::(Log*)	1	economy.md
0x0057f906	NONE	+0	0			1	economy.md
0x0057f910	PROC	+0	1	Constants::walk_data	void Constants::(DataWalk*)	1	binary-ground-truth.md
0x0057f950	PROC	+0	1	Constants::get_fraction	int Constants::(const String&, i...	8	binary-ground-truth.md,economy.md,provenance-ledger.md
0x0057fa60	PROC	+0	1	Constants::get_item	int Constants::(const String&)	9	binary-ground-truth.md,economy.md,provenance-ledger.md,sim-economy.md
0x0057fb05	PROC	+165	1	Constants::get_item	int Constants::(const String&)	1	economy.md
0x0057fc74	PROC	+292	1	Balance::type_damage	int Balance::(TypeIndex, TypeInd...	1	combat.md
0x00581ca0	PROC	+0	1	Balance::return_modifier	int Balance::(TypeIndex, TypeInd...	11	AUDIT.md,combat.md,live-tables.md,provenance-ledger.md
0x00581ca3	PROC	+3	1	Balance::return_modifier	int Balance::(TypeIndex, TypeInd...	1	live-tables.md
0x00581caa	PROC	+10	1	Balance::return_modifier	int Balance::(TypeIndex, TypeInd...	1	live-tables.md
0x00581cad	PROC	+13	1	Balance::return_modifier	int Balance::(TypeIndex, TypeInd...	1	live-tables.md
0x00581cc0	PROC	+0	1	Balance::compute_modifier	int Balance::(TypeIndex, TypeInd...	2	live-tables.md,provenance-ledger.md
0x00582bd0	PROC	+0	1	Balance::log_data	void Balance::(Log*)	4	live-tables.md,provenance-ledger.md
0x00582cc0	PROC	+0	1	Balance::walk_rules_data	void Balance::(DataWalk*)	1	binary-ground-truth.md
0x00584590	PROC	+0	1	Game::run	void Game::()	1	replay-io.md
0x00585287	PROC	+3319	1	Game::run	void Game::()	1	replay-io.md
0x00585300	PROC	+3440	1	Game::run	void Game::()	1	replay-io.md
0x00586440	PROC	+0	1	Game::run_editor	void Game::()	1	rng.md
0x00586d26	PROC	+838	1	Game::run_oos_recovery	void Game::()	1	rng.md
0x00586ea0	PROC	+0	1	Game::run_playback	void Game::()	1	replay-io.md
0x005887d0	PROC	+0	1	Game::log_rules_data	void Game::(Log*)	1	combat.md
0x005887db	PROC	+11	1	Game::log_rules_data	void Game::(Log*)	1	economy.md
0x005887f6	PROC	+38	1	Game::log_rules_data	void Game::(Log*)	1	economy.md
0x0058880f	PROC	+63	1	Game::log_rules_data	void Game::(Log*)	1	economy.md
0x00588816	PROC	+70	1	Game::log_rules_data	void Game::(Log*)	1	economy.md
0x00589550	PROC	+0	1	Game::walk_rules_data	void Game::(DataWalk*)	8	checksum.md,provenance-ledger.md,replay-checksum.md,replay-io.md
0x00589600	PROC	+0	1	Game::walk_data	void Game::(DataWalk*)	8	AUDIT-replay.md,binary-ground-truth.md,provenance-ledger.md,replay-format.md,replay-io.md
0x00589bb0	PROC	+0	1	Game::init_rules_and_teams	int Game::(int, int)	1	rng.md
0x0058a500	PROC	+0	1	Game::init_starting_resources	void Game::()	1	rng.md
0x0058a600	PROC	+0	1	Game::init_tribes	void Game::()	1	rng.md
0x0058c1a0	PROC	+0	1	Game::init_random_colors	void Game::()	1	rng.md
0x0058c2a1	PROC	+257	1	Game::init_random_colors	void Game::()	1	rng.md
0x00591ef0	PROC	+0	1	Game::do_frame	void Game::()	2	provenance-ledger.md,sim-economy.md
0x0059224f	PROC	+863	1	Game::do_frame	void Game::()	1	sim-economy.md
0x005924bf	PROC	+1487	1	Game::do_frame	void Game::()	1	sim-economy.md
0x005924cf	PROC	+1503	1	Game::do_frame	void Game::()	3	provenance-ledger.md,sim-economy.md
0x00594ecf	PROC	+847	1	Game::close	void Game::(int)	1	rng.md
0x005a76b0	PROC	+0	1	SaveGame::verify_save	int SaveGame::()	1	checksum.md
0x005abf90	PROC	+0	1	Setup::reinit_game_units	void Setup::()	1	pathfinding.md
0x005d6040	PROC	+0	1	GameInfo::log_data	void GameInfo::(Log*)	3	checksum.md,provenance-ledger.md
0x005d6570	PROC	+0	1	GameInfo::walk_data	void GameInfo::(DataWalk*)	5	provenance-ledger.md,replay-io.md
0x005d6596	PROC	+38	1	GameInfo::walk_data	void GameInfo::(DataWalk*)	1	replay-io.md
0x005d66c1	PROC	+337	1	GameInfo::walk_data	void GameInfo::(DataWalk*)	1	replay-io.md
0x005d7460	PROC	+0	1	Animal::do_idle	void Animal::()	2	provenance-ledger.md,rng.md
0x005d79e0	PROC	+0	1	Animal::think_bird	void Animal::(UnitOrder*, int)	2	provenance-ledger.md,rng.md
0x005d7ea0	PROC	+0	1	AnimalData::walk_data	void AnimalData::(DataWalk*)	1	checksum.md
0x005dda2c	PROC	+2092	1	GuyOut::graph_inc_frame	Liberr GuyOut::()	1	live-tables.md
0x005dda34	PROC	+2100	1	GuyOut::graph_inc_frame	Liberr GuyOut::()	1	live-tables.md
0x005dda37	PROC	+2103	1	GuyOut::graph_inc_frame	Liberr GuyOut::()	1	live-tables.md
0x005dda4e	PROC	+2126	1	GuyOut::graph_inc_frame	Liberr GuyOut::()	1	live-tables.md
0x005e11a0	PROC	+0	1	Unit::process_attrition	int Unit::()	2	provenance-ledger.md
0x005e15dd	PROC	+1085	1	Unit::process_attrition	int Unit::()	3	economy.md,provenance-ledger.md,sim-economy.md
0x005e192b	PROC	+1931	1	Unit::process_attrition	int Unit::()	1	economy.md
0x005e193d	PROC	+1949	1	Unit::process_attrition	int Unit::()	1	economy.md
0x00608fd0	PROC	+0	1	UnitData::get_attrition	int UnitData::(int)	5	economy.md,provenance-ledger.md,sim-economy.md
0x00608fed	PROC	+29	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x00608ffe	PROC	+46	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x00609027	PROC	+87	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x0060903d	PROC	+109	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x00609047	PROC	+119	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x0060905e	PROC	+142	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x0060907b	PROC	+171	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x00609096	PROC	+198	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x006090a8	PROC	+216	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x006090d1	PROC	+257	1	UnitData::get_attrition	int UnitData::(int)	1	economy.md
0x0060911b	PROC	+331	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x00609122	PROC	+338	1	UnitData::get_attrition	int UnitData::(int)	2	economy.md,sim-economy.md
0x0060913e	PROC	+366	1	UnitData::get_attrition	int UnitData::(int)	1	sim-economy.md
0x0060cf40	PROC	+0	1	Unit::walk_data	void Unit::(DataWalk*)	1	checksum.md
0x0060ee50	PROC	+0	1	Unit::close	void Unit::(char, int, float)	2	provenance-ledger.md,rng.md
0x00610160	PROC	+0	1	UnitData::armor	int UnitData::()	3	provenance-ledger.md
0x006103c0	PROC	+0	1	UnitData::attack	int UnitData::()	3	provenance-ledger.md
0x006115ea	PROC	+2602	1	Unit::process	void Unit::()	3	provenance-ledger.md,sim-economy.md
0x006117c8	PROC	+3080	1	Unit::process	void Unit::()	3	provenance-ledger.md,sim-economy.md
0x0061ab50	PROC	+0	1	UnitType::init	int UnitType::(const XMLElement&...	6	README-LLM.md,binary-ground-truth.md,combat.md
0x0061b01b	PROC	+1227	1	UnitType::init	int UnitType::(const XMLElement&...	1	combat.md
0x0061b8b8	PROC	+3432	1	UnitType::init	int UnitType::(const XMLElement&...	1	combat.md
0x0061b8df	PROC	+3471	1	UnitType::init	int UnitType::(const XMLElement&...	1	combat.md
0x0061c490	PROC	+0	1	UnitType::log_data	void UnitType::(Log*)	15	CHARTER.md,binary-ground-truth.md,checksum.md,economy.md,live-tables.md,pathfinding.md,pdb-types.md,provenance-ledger.md
0x0061de20	PROC	+0	1	UnitType::backup	void UnitType::(UnitTypeBak*)	1	pathfinding.md
0x0062dd90	PROC	+0	1	BuildData::get_shot	int BuildData::()	1	damage-port.md
0x0062e610	PROC	+0	1	BuildData::attack	int BuildData::()	3	provenance-ledger.md
0x0062f270	PROC	+0	1	BuildData::walk_data	void BuildData::(DataWalk*)	1	checksum.md
0x00631810	PROC	+0	1	BuildType::log_data	void BuildType::(Log*)	3	live-tables.md,provenance-ledger.md
0x006336a9	PROC	+89	1	BuildTypeOut::set_parse_data	int BuildTypeOut::(int)	1	economy.md
0x00633e9c	PROC	+2124	1	BuildTypeOut::set_parse_data	int BuildTypeOut::(int)	1	economy.md
0x0063fa60	PROC	+0	1	WallData::armor	int WallData::()	4	provenance-ledger.md
0x00642510	PROC	+0	1	WallData::walk_data	void WallData::(DataWalk*)	1	checksum.md
0x00644130	PROC	+0	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	24	AUDIT.md,README-LLM.md,combat.md,damage-port.md,pdb-types.md,provenance-ledger.md
0x00644178	PROC	+72	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	5	combat.md,damage-port.md,live-tables.md,provenance-ledger.md
0x0064418e	PROC	+94	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	5	combat.md,damage-port.md,live-tables.md,provenance-ledger.md
0x006441a0	PROC	+112	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x006442a3	PROC	+371	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	2	damage-port.md
0x006442ab	PROC	+379	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	provenance-ledger.md
0x00644307	PROC	+471	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x0064435f	PROC	+559	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x00644453	PROC	+803	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x006445a4	PROC	+1140	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x00644659	PROC	+1321	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x00644668	PROC	+1336	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x006446ac	PROC	+1404	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x006446b8	PROC	+1416	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x006448b9	PROC	+1929	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	2	combat.md,damage-port.md
0x00644b26	PROC	+2550	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	2	combat.md,provenance-ledger.md
0x00644b2b	PROC	+2555	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	4	damage-port.md,provenance-ledger.md
0x00644b3a	PROC	+2570	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	provenance-ledger.md
0x00644b52	PROC	+2594	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	provenance-ledger.md
0x00644b5f	PROC	+2607	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	provenance-ledger.md
0x00644b7d	PROC	+2637	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	combat.md
0x00644be1	PROC	+2737	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x00644d00	PROC	+3024	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	1	damage-port.md
0x00644d78	PROC	+3144	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	2	combat.md,damage-port.md
0x00644e0e	PROC	+3294	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	6	damage-port.md,provenance-ledger.md
0x00644e2d	PROC	+3325	1	ObjectData::get_damage	int ObjectData::(int, int, unsig...	2	damage-port.md,provenance-ledger.md
0x00645100	PROC	+48	1	ObjectsArray::get_new_data	Object* ObjectsArray::(int)	4	AUDIT.md,combat.md
0x006469f0	PROC	+0	1	ObjectData::attack	int ObjectData::()	6	combat.md,damage-port.md,provenance-ledger.md
0x00646ad5	PROC	+229	1	ObjectData::attack	int ObjectData::()	1	damage-port.md
0x00646ae2	PROC	+242	1	ObjectData::attack	int ObjectData::()	1	combat.md
0x00646ae5	PROC	+245	1	ObjectData::attack	int ObjectData::()	1	damage-port.md
0x00646b00	PROC	+0	1	ObjectData::has_general	int ObjectData::(int, int)	1	damage-port.md
0x00647830	PROC	+0	1	Object::walk_data	void Object::(DataWalk*)	2	checksum.md
0x00647885	PROC	+85	1	Object::walk_data	void Object::(DataWalk*)	1	checksum.md
0x00647db0	PROC	+0	1	ObjectData::armor	int ObjectData::()	5	combat.md,damage-port.md,provenance-ledger.md
0x00647e62	PROC	+178	1	ObjectData::armor	int ObjectData::()	1	damage-port.md
0x00647e6f	PROC	+191	1	ObjectData::armor	int ObjectData::()	2	combat.md,damage-port.md
0x0064a480	PROC	+0	1	Object::do_damage	void Object::(int, int, unsigned...	4	combat.md,provenance-ledger.md
0x0064a4e2	PROC	+98	1	Object::do_damage	void Object::(int, int, unsigned...	1	combat.md
0x0064a4f7	PROC	+119	1	Object::do_damage	void Object::(int, int, unsigned...	3	combat.md,provenance-ledger.md
0x0064a5dd	PROC	+349	1	Object::do_damage	void Object::(int, int, unsigned...	1	combat.md
0x0064a61a	PROC	+410	1	Object::do_damage	void Object::(int, int, unsigned...	1	combat.md
0x0064bf8c	PROC	+6924	1	Object::do_damage	void Object::(int, int, unsigned...	1	economy.md
0x0064e5c0	PROC	+0	1	Object::compare_target	int Object::(int, int, int, int)	2	combat.md,provenance-ledger.md
0x0064ec10	PROC	+1616	1	Object::compare_target	int Object::(int, int, int, int)	1	provenance-ledger.md
0x006508c0	PROC	+0	1	ObjectData::train_time	int ObjectData::(int)	5	economy.md,provenance-ledger.md,sim-economy.md
0x006508ea	PROC	+42	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x006508eb	PROC	+43	1	ObjectData::train_time	int ObjectData::(int)	2	economy.md,sim-economy.md
0x00650907	PROC	+71	1	ObjectData::train_time	int ObjectData::(int)	1	economy.md
0x0065094c	PROC	+140	1	ObjectData::train_time	int ObjectData::(int)	1	provenance-ledger.md
0x00650951	PROC	+145	1	ObjectData::train_time	int ObjectData::(int)	2	economy.md
0x00650989	PROC	+201	1	ObjectData::train_time	int ObjectData::(int)	1	economy.md
0x00650aa8	PROC	+488	1	ObjectData::train_time	int ObjectData::(int)	1	economy.md
0x00650ab5	PROC	+501	1	ObjectData::train_time	int ObjectData::(int)	3	provenance-ledger.md,sim-economy.md
0x00650af6	PROC	+566	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x00650b17	PROC	+599	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x00650b27	PROC	+615	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x00650b31	PROC	+625	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x00650b3d	PROC	+637	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x00650b67	PROC	+679	1	ObjectData::train_time	int ObjectData::(int)	1	sim-economy.md
0x00653790	PROC	+0	1	ObjectData::is	int ObjectData::(int, int)	2	damage-port.md
0x0065f4a0	PROC	+0	1	ObjectType::finalize_init_all	void ObjectType::()	1	live-tables.md
0x0065f880	PROC	+0	1	ObjectType::ObjectType	void ObjectType::()	2	combat.md
0x0065fac0	PROC	+0	1	ObjectType::backup	void ObjectType::(ObjectTypeBak*...	1	combat.md
0x0065fb30	PROC	+0	1	ObjectType::restore	void ObjectType::(ObjectTypeBak*...	1	combat.md
0x0065fc00	PROC	+0	1	ObjectType::log_data	void ObjectType::(Log*)	19	CHARTER.md,binary-ground-truth.md,checksum.md,combat.md,live-tables.md,pathfinding.md,pdb-types.md,provenance-ledger.md
0x006621d0	PROC	+0	1	SubObject::walk_data	void SubObject::(DataWalk*)	2	checksum.md
0x00662300	PROC	+0	1	SubObject::init	int SubObject::(int, TypeIndex, ...	3	pathfinding.md
0x00662680	PROC	+0	1	SubObject::set_new_location	int SubObject::(const Coord, con...	5	pathfinding.md,provenance-ledger.md
0x006631c0	PROC	+0	1	Type::log_data	void Type::(Log*)	4	live-tables.md,provenance-ledger.md
0x00664090	PROC	+0	1	TypeData::get_cost	int TypeData::(int, int, int, in...	7	economy.md,provenance-ledger.md,sim-economy.md
0x006653ff	PROC	+4975	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	economy.md
0x00665440	PROC	+5040	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	economy.md
0x00665443	PROC	+5043	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	sim-economy.md
0x00665452	PROC	+5058	1	TypeData::get_cost	int TypeData::(int, int, int, in...	2	provenance-ledger.md,sim-economy.md
0x0066568f	PROC	+5631	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	economy.md
0x0066569f	PROC	+5647	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	economy.md
0x006656aa	PROC	+5658	1	TypeData::get_cost	int TypeData::(int, int, int, in...	2	provenance-ledger.md,sim-economy.md
0x006656af	PROC	+5663	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	economy.md
0x0066630c	PROC	+8828	1	TypeData::get_cost	int TypeData::(int, int, int, in...	1	economy.md
0x00669800	PROC	+0	1	Types::walk_rules_data	void Types::(DataWalk*)	1	replay-io.md
0x0066d630	PROC	+0	1	TechType::log_data	void TechType::(Log*)	3	live-tables.md,provenance-ledger.md
0x0066e5d0	PROC	+0	1	Good::walk_data	void Good::(DataWalk*)	1	checksum.md
0x0066f2c0	PROC	+0	1	GoodType::log_data	void GoodType::(Log*)	3	live-tables.md,pdb-types.md
0x00677150	PROC	+0	1	Item::walk_data	void Item::(DataWalk*)	1	checksum.md
0x00678060	PROC	+0	1	Ammo::do_damage	int Ammo::()	1	combat.md
0x0067bad0	PROC	+720	1	Ammo::init_crash	void Ammo::(Guy*, int, int)	1	provenance-ledger.md
0x0067bad6	PROC	+726	1	Ammo::init_crash	void Ammo::(Guy*, int, int)	3	AUDIT.md,economy.md,provenance-ledger.md
0x00681db0	PROC	+0	1	init_coord_lookup_array	void (int)	6	AUDIT.md,pathfinding.md,provenance-ledger.md
0x00683770	PROC	+0	1	PathFinder::astar_path	int PathFinder::(Stack<PathData>...	1	README-LLM.md
0x00685950	PROC	+0	1	PathFinder::find_road_restore	int PathFinder::(Stack<PathData>...	1	pathfinding.md
0x00685990	PROC	+0	1	PathFinder::astar_caravan_road	int PathFinder::(Stack<PathData>...	11	AUDIT.md,README-LLM.md,pathfinding.md,provenance-ledger.md
0x00685b27	PROC	+407	1	PathFinder::astar_caravan_road	int PathFinder::(Stack<PathData>...	1	pathfinding.md
